Focus Group,Value Index,Content,processed_content,label,category,vader_sentiment,word_count
7DOCE Discovery Session | Admin Aides Group 1,6,"Phone calls from the public – complaint line, or generalized question line, scan documents – rent holds/rentl releases, t&d, n&m ticjkets",phone call public complaint line generalized question line scan document rent release n ticjkets,negative,line,negative,14
7DOCE Discovery Session | Admin Aides Group 1,13,"Shawna: Take complaints, schedule inspections – get a lot of the werid calls, lots of fact finding",shawna take complaint schedule inspection get lot werid call lot fact finding,negative,lot,negative,12
7DOCE Discovery Session | Admin Aides Group 1,29,"S: Does the most – takes phone calls, complaints, schedule inspections",take phone call complaint schedule inspection,negative,take,negative,6
7DOCE Discovery Session | Admin Aides Group 1,35,M: Unhandled exception error – entered complaint case and crashes,unhandled exception error entered complaint case crash,negative,unhandled,negative,7
7DOCE Discovery Session | Admin Aides Group 1,36,IPS crash 2-3 times per day,ip crash time per day,negative,ip,negative,5
7DOCE Discovery Session | Admin Aides Group 1,39,"Not all explciitly told at the same time who is doing what e.. Pat C. commercial electrical and building insp supposed to be doing what Pat was doing, but no one aware",explciitly told time e pat commercial electrical building insp supposed pat one aware,neutral,pat,negative,13
7DOCE Discovery Session | Admin Aides Group 1,40,"Periodic Insp module for Rental Registry – annoying, unorganized",periodic insp module rental registry annoying unorganized,negative,periodic,negative,7
7DOCE Discovery Session | Admin Aides Group 1,48,"Bldg, Fire, Electrical – schedule each individually",bldg fire electrical schedule individually,negative,bldg,negative,5
7DOCE Discovery Session | Admin Aides Group 1,50,4-5 properties scheduling inspections for – call will drop bc time consuming to schedule each one,property scheduling inspection call drop bc time consuming schedule one,negative,property,negative,10
7DOCE Discovery Session | Admin Aides Group 1,55,BAA ticketing – processes seem inconsist and stupid – BAA would send back a ticket with a minor correction i.e. period off or missing letter ‘t’ Scott,baa ticketing process seem inconsist stupid baa would send back ticket minor correction period missing letter scott,negative,baa,negative,17
7DOCE Discovery Session | Admin Aides Group 1,58,"Problem bc inspector should sign, then inspector could edit it – delay by days",problem bc inspector sign inspector could edit delay day,negative,inspector,negative,9
7DOCE Discovery Session | Admin Aides Group 1,60,"Address for owner legit address – deed search and on Image Mate, who we sent violation notice to",address owner legit address deed search image mate sent violation notice,negative,address,negative,11
7DOCE Discovery Session | Admin Aides Group 1,61,"BAA tried to send to PO Box – didn't go through – couldn't serve it twice, denied ticket and sent it back",baa tried send po box go could serve twice denied ticket sent back,negative,baa,negative,13
7DOCE Discovery Session | Admin Aides Group 1,63,"S: Limit on tabs IPS can handle- multi-task – may have 7 tabs open, upload documents, tabs open – when that error comes up – is there a limit to tabs before crashes? On average ~10 complaint cases open",limit tab ip may tab open upload document tab open error come limit tab crash average complaint case open,negative,tab,negative,19
7DOCE Discovery Session | Admin Aides Group 1,72,Death certificate 2003 of someone trying to serve,death certificate someone trying serve,negative,death,negative,5
7DOCE Discovery Session | Admin Aides Group 1,88,Computer is slow – takes 45 sec to open complaint case,computer slow take sec open complaint case,negative,computer,negative,7
7DOCE Discovery Session | Admin Aides Group 1,95,Made cheat sheets and phone lists of commonly ysed things – reference docs,made cheat sheet phone list commonly ysed thing reference doc,negative,made,negative,10
DOCE Discovery Session | Building Inspectors Group 1,18,Aides schedule CofU – can be diconnect between Fire and inspector going,aide schedule cofu diconnect fire inspector going,negative,aide,negative,7
DOCE Discovery Session | Building Inspectors Group 1,31,End of the day – depends on number of cases and violations,end day depends number case violation,negative,end,negative,6
DOCE Discovery Session | Building Inspectors Group 1,39,If you forgot to put tickle date in – cases are lost,forgot put tickle date case lost,negative,forgot,negative,6
DOCE Discovery Session | Building Inspectors Group 1,40,IPS crashes – 3 or 4 cases – someone calls – may have lost your case – doesn't save session,ip crash case someone call may lost case save session,negative,case,negative,10
DOCE Discovery Session | Building Inspectors Group 1,42,In an area where people get scared with the notices,area people get scared notice,negative,area,negative,5
DOCE Discovery Session | Building Inspectors Group 1,47,Can’t send PO to BAA if tax delinquent per – if only thing is CofC being held up,send po baa tax delinquent per thing cofc held,negative,send,negative,9
DOCE Discovery Session | Building Inspectors Group 1,49,Rob: Zoning approval – Zone checks take forever – he knows they’re very busy,rob zoning approval zone check take forever know busy,negative,rob,negative,9
DOCE Discovery Session | Building Inspectors Group 1,57,2 years since it’s been referred to Law and no note from Law,year since referred law note law,neutral,law,negative,6
DOCE Discovery Session | Building Inspectors Group 1,59,"Third-party inspectors: Sprinklers, fire alarm, smoke certs if hardwired, boilers/furnace, HVAC, elevators",inspector sprinkler fire alarm smoke cert hardwired hvac elevator,negative,inspector,negative,9
DOCE Discovery Session | Building Inspectors Group 1,60,Will put reports to fire marshal and they will review and approve,put report fire marshal review approve,negative,put,negative,6
DOCE Discovery Session | Building Inspectors Group 1,65,See the water and elevator certs – have to ask Sonya – no note if it’s passed or paid,see water elevator cert ask sonya note passed paid,neutral,see,negative,9
DOCE Discovery Session | Building Inspectors Group 1,92,Fire will also start their own cases in IPS – they don’t follow up on it – now inspectors do it for them,fire also start case ip follow inspector,negative,fire,negative,7
DOCE Discovery Session | Building Inspectors Group 1,97,"Reggie’s case changed – he tries to change the older – causes confusion, multiple listed",reggie case changed try change older cause confusion multiple listed,negative,reggie,negative,10
DOCE Discovery Session | Building Inspectors Group 1,101,"Multiple ways to update in system – if not updated in certain way, doesn’t get",multiple way update system updated certain way get,positive,way,negative,8
DOCE Discovery Session | Building Inspectors Group 1,102,"AS400 checks 4 way – Ashlie uses constantly, Rob not familiar with it",check way ashlie us constantly rob familiar,negative,check,negative,7
DOCE Discovery Session | Building Inspectors Group 1,118,"Offline capability – if they go into a basement to look at boiler, service drops/tablet wouldn’t work",offline capability go basement look boiler service work,negative,offline,negative,8
DOCE Discovery Session | Building Inspectors Group 1,123,Some of the inspectors do not have the ability to delete actions or photos in IPS if they are added by mistake. A lot of them come to me to do that for them.,inspector ability delete action photo ip added mistake lot come,neutral,inspector,negative,10
DOCE Discovery Session | Admin Aides Group 2,5,"Mostly make calls, schedule complaints, schedule inspections – bulk of what they do",mostly make call schedule complaint schedule inspection bulk,negative,schedule,negative,8
DOCE Discovery Session | Admin Aides Group 2,8,Lillian: Point of contact – general public that comes in – her or Maria handle the spanish speaking population and handle inspections for them upstairs (if Maria not there may help out downstairs or Suehaly or Jenifer from SPD),lillian point contact general public come maria handle spanish speaking population handle inspection upstairs maria may help downstairs suehaly jenifer spd,positive,maria,negative,21
DOCE Discovery Session | Admin Aides Group 2,11,Someone calls trying to schedule inspection or PO wants information – just one window – gets congested,someone call trying schedule inspection po want information one window get congested,negative,someone,negative,12
DOCE Discovery Session | Admin Aides Group 2,14,Issues with phones – started 2-3 months – phone calls just drop – people frustrated because phone drops – IT tickets on it since 2024,issue phone started month phone call drop people frustrated phone drop ticket since,negative,phone,negative,13
DOCE Discovery Session | Admin Aides Group 2,41,Issue with feature – put in a complaint under building without a permit – when it times to send out letter *follow up with Tim for details,issue feature put complaint building without permit time send letter follow tim detail,negative,issue,negative,13
DOCE Discovery Session | Admin Aides Group 2,61,Owner/contact information – needs to be connected – updated individually in RR module vs complaint module,information need connected updated individually rr module v complaint module,negative,module,negative,10
DOCE Discovery Session | Supervisors Group,10,"Bill: New casework comes in through emails, seeclickfix, fire department – if fires occurs overnight",bill new casework come email seeclickfix fire department fire occurs overnight,negative,fire,negative,11
