focus_group,pain_points,processed_text,sentiment
BAA Supervisors & Admin Aide,Manual ticketing process,Manual ticketing process,negative
BAA Supervisors & Admin Aide,Overachieving user account,Overachieving user account,negative
BAA Supervisors & Admin Aide,payments,payments,negative
BAA Supervisors & Admin Aide,Hearings:,Hearings:,negative
BAA Supervisors & Admin Aide,"Ability to contest, schedule by HO","Ability to contest, schedule by HO",positive
BAA Supervisors & Admin Aide,Ability to issue decision by ALJ,Ability to issue decision by ALJ,positive
BAA Supervisors & Admin Aide,SOP process,SOP process,negative
BAA Supervisors & Admin Aide,Appeal process,Appeal process,negative
BAA Supervisors & Admin Aide,View evidence,View evidence,negative
BAA Supervisors & Admin Aide,Online dispute,Online dispute,negative
BAA Supervisors & Admin Aide,Codes nail/mail tickets with QR code to online portal = constituent portal to view evidence pay/dispute appeal,Codes nail/mail tickets with QR code to online portal = constituent portal to view evidence pay/dispute appeal,negative
BAA Supervisors & Admin Aide,Inability to parse out multiple violations = ease of use for multiple tickets = service,Inability to parse out multiple violations = ease of use for multiple tickets = service,negative
BAA Supervisors & Admin Aide,Multiple “actions” not being used,Multiple “actions” not being used,negative
BAA Supervisors & Admin Aide,Communication with codes,Communication with codes,negative
BAA Supervisors & Admin Aide,Case not linked into inputted in one case not available in another with same owner/property,Case not linked into inputted in one case not available in another with same owner/property,negative
BAA Supervisors & Admin Aide,Can't search for LLC,Can't search for LLC,negative
BAA Supervisors & Admin Aide,Unreliable address search,Unreliable address search,negative
BAA Supervisors & Admin Aide,Unreliable reports,Unreliable reports,negative
BAA Supervisors & Admin Aide,Too many interfaces not linking info (i.e. parcel search),Too many interfaces not linking info (i.e. parcel search),negative
BAA Supervisors & Admin Aide,Note taking (nothing technical),Note taking (nothing technical),negative
DOCE Building Inspectors,Updated Contact Information,Updated Contact Information,negative
DOCE Building Inspectors,Updated address,Updated address,negative
DOCE Building Inspectors,Task to be done for inspection addressed before Inspection,Task to be done for inspection addressed before Inspection,positive
DOCE Building Inspectors,Citing in field,Citing in field,negative
DOCE Building Inspectors,Required permits,Required permits,negative
DOCE Building Inspectors,Having to rely on other people,Having to rely on other people,negative
DOCE Building Inspectors,So many systems,So many systems,negative
DOCE Building Inspectors,Lack of communication,Lack of communication,negative
DOCE Building Inspectors,Getting blamed for slow BAA and Law process,Getting blamed for slow BAA and Law process,negative
DOCE Building Inspectors,Zoning approval/zone check,Zoning approval/zone check,negative
DOCE Building Inspectors,Tax delinquecy,Tax delinquecy,negative
DOCE Building Inspectors,Elevator certification,Elevator certification,negative
DOCE Building Inspectors,Water certification,Water certification,negative
CPC,BAA fines,BAA fines,negative
CPC,Open / closed symbols on complaints,Open / closed symbols on complaints,negative
CPC,Violation sheet mixed with everything else,Violation sheet mixed with everything else,negative
CPC,Searching complaints by address – most green / pink icons are incorrect,Searching complaints by address – most green / pink icons are incorrect,negative
CPC,When a property has many violations- it loads slower,When a property has many violations- it loads slower,negative
CPC,Search by ticket number and violation number,Search by ticket number and violation number,negative
CPC,Currently only allows search by ticket number,Currently only allows search by ticket number,negative
CPC,It’s straightforward,It’s straightforward,negative
CPC,Ability to cross-reference account other than address,Ability to cross-reference account other than address,positive
CPC,Any accounts listed under an individual,Any accounts listed under an individual,negative
DOCE Central Permit Office,Too many applications,Too many applications,negative
DOCE Central Permit Office,Lack of integration (data being shared),Lack of integration (data being shared),negative
DOCE Central Permit Office,Notification to code enforcement applicants and reviews,Notification to code enforcement applicants and reviews,positive
DOCE Central Permit Office,Split permits and codes,Split permits and codes,negative
DOCE Central Permit Office,Reads less like a report and more like a hunt for information,Reads less like a report and more like a hunt for information,negative
DOCE Central Permit Office,In camino when application uploads the wrong document,In camino when application uploads the wrong document,negative
DOCE CPO Coordinators,Moving things / duplicating from Camino to IPS,Moving things / duplicating from Camino to IPS,negative
DOCE CPO Coordinators,Application process made more difficult with Camino,Application process made more difficult with Camino,negative
