Focus Group,Value Index,Content
7DOCE Discovery Session | Admin Aides Group 1,0,"Jordan – Office Manager, 5mos"
7DOCE Discovery Session | Admin Aides Group 1,1,"Mastajah – Admin Aides, 6mos (ma-sta-jah)"
7DOCE Discovery Session | Admin Aides Group 1,2,"Shawna – Admin Aide, 1.5yr"
7DOCE Discovery Session | Admin Aides Group 1,3,Worksheet | 15min | Swapnil
7DOCE Discovery Session | Admin Aides Group 1,4,"Share Out* | 40 min | Swapnil facilitates, Rose takes notes"
7DOCE Discovery Session | Admin Aides Group 1,5,Role – general role and main responsibilities
7DOCE Discovery Session | Admin Aides Group 1,6,"Phone calls from the public – complaint line, or generalized question line, scan documents – rent holds/rentl releases, t&d, n&m ticjkets"
7DOCE Discovery Session | Admin Aides Group 1,7,Letters folding
7DOCE Discovery Session | Admin Aides Group 1,8,"Help at the window, people who in come person"
7DOCE Discovery Session | Admin Aides Group 1,9,Jordan: Help pick up projects
7DOCE Discovery Session | Admin Aides Group 1,10,"Day to day – writing tickets, send"
7DOCE Discovery Session | Admin Aides Group 1,11,Ownership verification
7DOCE Discovery Session | Admin Aides Group 1,12,Rental Registry maintenance
7DOCE Discovery Session | Admin Aides Group 1,13,"Shawna: Take complaints, schedule inspections – get a lot of the werid calls, lots of fact finding"
7DOCE Discovery Session | Admin Aides Group 1,14,"Mastajah does most of the nail and mails, Shawna does the phones"
7DOCE Discovery Session | Admin Aides Group 1,15,"Data entry – stuff from Law, stuff from tickets"
7DOCE Discovery Session | Admin Aides Group 1,16,Process
7DOCE Discovery Session | Admin Aides Group 1,17,"M: People who call, can also be person who come in person"
7DOCE Discovery Session | Admin Aides Group 1,18,Inspectors go to first
7DOCE Discovery Session | Admin Aides Group 1,19,Most calls – inspector to go out for a complaint
7DOCE Discovery Session | Admin Aides Group 1,20,Lots of people want to talk to supervisor
7DOCE Discovery Session | Admin Aides Group 1,21,Ask each other questions
7DOCE Discovery Session | Admin Aides Group 1,22,"Tools: IPS, Camino, catchment map, Outlook, phones"
7DOCE Discovery Session | Admin Aides Group 1,23,"Collaboration tools – all set near each other, most"
7DOCE Discovery Session | Admin Aides Group 1,24,"J: Sends a lot of emails, mostly to inspectors, then BAA tickets"
7DOCE Discovery Session | Admin Aides Group 1,25,Doesn’t use the phone very much
7DOCE Discovery Session | Admin Aides Group 1,26,Day-to-day collab with BAA and internal CE
7DOCE Discovery Session | Admin Aides Group 1,27,Email with Permits sometimes not often
7DOCE Discovery Session | Admin Aides Group 1,28,"Tools: Outlook, IPS, maps, use County Clerk database, uses AS400 for Rental Registry for water billing"
7DOCE Discovery Session | Admin Aides Group 1,29,"S: Does the most – takes phone calls, complaints, schedule inspections"
7DOCE Discovery Session | Admin Aides Group 1,30,Inspector involved at some point
7DOCE Discovery Session | Admin Aides Group 1,31,"Speaks with Tom or Bill if there’s an issue – if someone is out, needs another inspector"
7DOCE Discovery Session | Admin Aides Group 1,32,"Tools: IPS, Outlook, GIS, catchment map, Teams, AS400"
7DOCE Discovery Session | Admin Aides Group 1,33,Rent Holds and Rent Releases – get in contact with NBD – 3 receives them and someone from DSS (Lisbeth Nobel)
7DOCE Discovery Session | Admin Aides Group 1,34,Pain points and challenges
7DOCE Discovery Session | Admin Aides Group 1,35,M: Unhandled exception error – entered complaint case and crashes
7DOCE Discovery Session | Admin Aides Group 1,36,IPS crash 2-3 times per day
7DOCE Discovery Session | Admin Aides Group 1,37,S: Scheduling
7DOCE Discovery Session | Admin Aides Group 1,38,When person supposed to be in a certain error
7DOCE Discovery Session | Admin Aides Group 1,39,"Not all explciitly told at the same time who is doing what e.. Pat C. commercial electrical and building insp supposed to be doing what Pat was doing, but no one aware"
7DOCE Discovery Session | Admin Aides Group 1,40,"Periodic Insp module for Rental Registry – annoying, unorganized"
7DOCE Discovery Session | Admin Aides Group 1,41,Inspector names not alphabetized
7DOCE Discovery Session | Admin Aides Group 1,42,Scheduling appoiintment – that is alphabetized
7DOCE Discovery Session | Admin Aides Group 1,43,Inspection schedule and inspection note
7DOCE Discovery Session | Admin Aides Group 1,44,Only use 2 out of the 20 options – actions in the drop-down in the periodics module
7DOCE Discovery Session | Admin Aides Group 1,45,Default options in complaint module always pre-populated – would be helpful for it to autofill
7DOCE Discovery Session | Admin Aides Group 1,46,"Each appointment – have to schedule in 2-3 places (Outlooks, Periodics module) - if all calendars could be auto-filled that would be helpful"
7DOCE Discovery Session | Admin Aides Group 1,47,"CofU or CofI – would be nice if all inspectors could collaborate on it, rather than setting up individually"
7DOCE Discovery Session | Admin Aides Group 1,48,"Bldg, Fire, Electrical – schedule each individually"
7DOCE Discovery Session | Admin Aides Group 1,49,Our phones are on a time limit – 5min max – drops automatically – IT has known about this issue – people call back and yell because they think they hung up
7DOCE Discovery Session | Admin Aides Group 1,50,4-5 properties scheduling inspections for – call will drop bc time consuming to schedule each one
7DOCE Discovery Session | Admin Aides Group 1,51,20 calls dropped between 4 of them one week
7DOCE Discovery Session | Admin Aides Group 1,52,20min wasted time due to phones
7DOCE Discovery Session | Admin Aides Group 1,53,J: IPS crashing
7DOCE Discovery Session | Admin Aides Group 1,54,Loud sighs
7DOCE Discovery Session | Admin Aides Group 1,55,BAA ticketing – processes seem inconsist and stupid – BAA would send back a ticket with a minor correction i.e. period off or missing letter ‘t’ Scott
7DOCE Discovery Session | Admin Aides Group 1,56,Find ticket – make a single character edit
7DOCE Discovery Session | Admin Aides Group 1,57,They could edit it on their end
7DOCE Discovery Session | Admin Aides Group 1,58,"Problem bc inspector should sign, then inspector could edit it – delay by days"
7DOCE Discovery Session | Admin Aides Group 1,59,BAA inconsistent – send back tickets for taking out a care/of line or making it a second line or saying Image Mate has 2 people listed but  – but only cited one person
7DOCE Discovery Session | Admin Aides Group 1,60,"Address for owner legit address – deed search and on Image Mate, who we sent violation notice to"
7DOCE Discovery Session | Admin Aides Group 1,61,"BAA tried to send to PO Box – didn't go through – couldn't serve it twice, denied ticket and sent it back"
7DOCE Discovery Session | Admin Aides Group 1,62,His work around – said Law verify address
7DOCE Discovery Session | Admin Aides Group 1,63,"S: Limit on tabs IPS can handle- multi-task – may have 7 tabs open, upload documents, tabs open – when that error comes up – is there a limit to tabs before crashes? On average ~10 complaint cases open"
7DOCE Discovery Session | Admin Aides Group 1,64,Managing multiple tools – is that frustrating? Could be a more efficient way to have all the things they use. Shawn: very analog so doesn’t know what that would look like GIS map
7DOCE Discovery Session | Admin Aides Group 1,65,Deed search – if inspectors listed with parcel info
7DOCE Discovery Session | Admin Aides Group 1,66,Would save time if all info on catchment map were in IPS on the parcel – but still wouldn’t have geographic context
7DOCE Discovery Session | Admin Aides Group 1,67,"M: Pixel perfect when searching by address in AS400 – very difficult, functionality atrocious, like the aesthetic"
7DOCE Discovery Session | Admin Aides Group 1,68,"J: AS400 – uses it for water billing, goes to view wtr history and won’t go anywhere – will go ‘long way’ - additional 3 steps – even then sometimes it’s not there"
7DOCE Discovery Session | Admin Aides Group 1,69,Only more annoying because
7DOCE Discovery Session | Admin Aides Group 1,70,Kevin gave long list of address changes – updating owner addresses in AS400 and in IPS
7DOCE Discovery Session | Admin Aides Group 1,71,Updating address only annoying
7DOCE Discovery Session | Admin Aides Group 1,72,Death certificate 2003 of someone trying to serve
7DOCE Discovery Session | Admin Aides Group 1,73,Can they have assessment update the address?
7DOCE Discovery Session | Admin Aides Group 1,74,IPS doesn’t allow saving owner addresses sometimes – or permission based? Tim could do it
7DOCE Discovery Session | Admin Aides Group 1,75,Sheer amount of duplicates in address book in IPS and AS400 – some of that is the owner addresses themselves
7DOCE Discovery Session | Admin Aides Group 1,76,With LLCs do have to keep it distinct if multiple LLCs so not all within our control
7DOCE Discovery Session | Admin Aides Group 1,77,"Put in contact information – enter someone with same name, address book won’t let you enter it if it’s similar – e.g. enter same name but different address"
7DOCE Discovery Session | Admin Aides Group 1,78,Assessment change of address form – share
7DOCE Discovery Session | Admin Aides Group 1,79,Anything you like about IPS
7DOCE Discovery Session | Admin Aides Group 1,80,Automatically adds hypens with phone number
7DOCE Discovery Session | Admin Aides Group 1,81,"Appreciates that within parcel, can click on button that brings directly to Image Mate with the owner address"
7DOCE Discovery Session | Admin Aides Group 1,82,Dark mode for IPS?  +2 Incredibly bright
7DOCE Discovery Session | Admin Aides Group 1,83,Other information you wish were available or features/capabailities?
7DOCE Discovery Session | Admin Aides Group 1,84,Spell check or grammar check
7DOCE Discovery Session | Admin Aides Group 1,85,Not consistent – some parts have features and others don’t
7DOCE Discovery Session | Admin Aides Group 1,86,"If everything could be more easily identifiable on the thumbnails – when you pull ip the Parcel History, not easy to tell e..g large complexes like Nob Hill, has to open each individually to find apartment – make it more identifiable e.g. apartment, unit – only has status, open date"
7DOCE Discovery Session | Admin Aides Group 1,87,Finding/opening specific cases difficult
7DOCE Discovery Session | Admin Aides Group 1,88,Computer is slow – takes 45 sec to open complaint case
7DOCE Discovery Session | Admin Aides Group 1,89,When you open a case note on an already open case – sometimes your name isn’t there – blank space – sometimes only inspectors are there
7DOCE Discovery Session | Admin Aides Group 1,90,Some things you need to hit Save and other time you don’t need to
7DOCE Discovery Session | Admin Aides Group 1,91,Save button never in the same place or
7DOCE Discovery Session | Admin Aides Group 1,92,New next to Save and look the same
7DOCE Discovery Session | Admin Aides Group 1,93,"Notepads, a lot of Excel documents"
7DOCE Discovery Session | Admin Aides Group 1,94,S: Doesn’t use Excel on day to day
7DOCE Discovery Session | Admin Aides Group 1,95,Made cheat sheets and phone lists of commonly ysed things – reference docs
7DOCE Discovery Session | Admin Aides Group 1,96,"Deed search, GIS,"
7DOCE Discovery Session | Admin Aides Group 1,97,MS Teams: will contact cityline Christine Norween
7DOCE Discovery Session | Admin Aides Group 1,98,Inspectors update SeeClick Fix – not admin aides
7DOCE Discovery Session | Admin Aides Group 1,99,Mondays are the busiest – 9 or 3pm
7DOCE Discovery Session | Admin Aides Group 1,100,Closing/Next Steps | 5min | Rose
DOCE Discovery Session | Building Inspectors Group 1,0,Introductions
DOCE Discovery Session | Building Inspectors Group 1,1,Rob Melcher: Housing > Building - 5yrs
DOCE Discovery Session | Building Inspectors Group 1,2,Ashlie: Clerk > Admin Supervisor > Housing > Building - 20yrs
DOCE Discovery Session | Building Inspectors Group 1,3,Dan: Housing > Building – 2018 (8 yrs)
DOCE Discovery Session | Building Inspectors Group 1,4,Reggie: Housing > Building (4 yrs) - 2019 (7 yrs)
DOCE Discovery Session | Building Inspectors Group 1,5,"Luke: Vacants (separate dept at the time, just him and Ryan) - 23yrs"
DOCE Discovery Session | Building Inspectors Group 1,6,Share Out
DOCE Discovery Session | Building Inspectors Group 1,7,Role
DOCE Discovery Session | Building Inspectors Group 1,8,"Building inspecor: CofC, CofU, Zoning, permits, tobacco, CofA, CofI, permit inspections – floaters for now if they’re booked up"
DOCE Discovery Session | Building Inspectors Group 1,9,Gave it to certain inspectors
DOCE Discovery Session | Building Inspectors Group 1,10,Process
DOCE Discovery Session | Building Inspectors Group 1,11,Intake/scheduling
DOCE Discovery Session | Building Inspectors Group 1,12,Depends on the inspection
DOCE Discovery Session | Building Inspectors Group 1,13,CofU – Corinne gets applications and she schedules
DOCE Discovery Session | Building Inspectors Group 1,14,CofC – Anthony and Maria – application side – call and schedule (doesn’t always happen)
DOCE Discovery Session | Building Inspectors Group 1,15,"May be due for CofC before app even comes up, and inspector will start"
DOCE Discovery Session | Building Inspectors Group 1,16,CofU/CofI – Fire and electrical
DOCE Discovery Session | Building Inspectors Group 1,17,Sometimes Fire does their own thing
DOCE Discovery Session | Building Inspectors Group 1,18,Aides schedule CofU – can be diconnect between Fire and inspector going
DOCE Discovery Session | Building Inspectors Group 1,19,"Outlook, IPS, Outlook calendar – doesn't even"
DOCE Discovery Session | Building Inspectors Group 1,20,Inspections
DOCE Discovery Session | Building Inspectors Group 1,21,"Electrical test, camera in iPhone for photos"
DOCE Discovery Session | Building Inspectors Group 1,22,"Got tablets years ago – great idea, too much lag – heard that IT didn’t want to pay for updates on tablets"
DOCE Discovery Session | Building Inspectors Group 1,23,Restricts them in the field - don't know what’s cited
DOCE Discovery Session | Building Inspectors Group 1,24,Reggie’s tablet does work – needs hotspots to work
DOCE Discovery Session | Building Inspectors Group 1,25,Photos go right into case – notes go in straighaway
DOCE Discovery Session | Building Inspectors Group 1,26,IPhones were great when they got them
DOCE Discovery Session | Building Inspectors Group 1,27,IPads with IPS app are droid companability – doesn't work with iPhones
DOCE Discovery Session | Building Inspectors Group 1,28,Taking notes on paper and picture on phone
DOCE Discovery Session | Building Inspectors Group 1,29,"Before go out – checking out what’s required, whether they need dust wipes (lead)"
DOCE Discovery Session | Building Inspectors Group 1,30,Back in the office – type up notes
DOCE Discovery Session | Building Inspectors Group 1,31,End of the day – depends on number of cases and violations
DOCE Discovery Session | Building Inspectors Group 1,32,Doing it in the field would save a ton of time
DOCE Discovery Session | Building Inspectors Group 1,33,Send themsevles
DOCE Discovery Session | Building Inspectors Group 1,34,Got them new tablets – first day doesn’t work
DOCE Discovery Session | Building Inspectors Group 1,35,Case management
DOCE Discovery Session | Building Inspectors Group 1,36,Daily workload and total workload
DOCE Discovery Session | Building Inspectors Group 1,37,You set up your own tickle date – not automated
DOCE Discovery Session | Building Inspectors Group 1,38,You have red to know if you’re really behind
DOCE Discovery Session | Building Inspectors Group 1,39,If you forgot to put tickle date in – cases are lost
DOCE Discovery Session | Building Inspectors Group 1,40,IPS crashes – 3 or 4 cases – someone calls – may have lost your case – doesn't save session
DOCE Discovery Session | Building Inspectors Group 1,41,BAA process
DOCE Discovery Session | Building Inspectors Group 1,42,In an area where people get scared with the notices
DOCE Discovery Session | Building Inspectors Group 1,43,"Rollover – if taxes unpaid, can’t get CofC"
DOCE Discovery Session | Building Inspectors Group 1,44,Not supposed to issue cert with taxes – can issue if in tax trust
DOCE Discovery Session | Building Inspectors Group 1,45,PO lie all the time – Assmt
DOCE Discovery Session | Building Inspectors Group 1,46,Different info from different departments
DOCE Discovery Session | Building Inspectors Group 1,47,Can’t send PO to BAA if tax delinquent per – if only thing is CofC being held up
DOCE Discovery Session | Building Inspectors Group 1,48,Pain Points & Challenges
DOCE Discovery Session | Building Inspectors Group 1,49,Rob: Zoning approval – Zone checks take forever – he knows they’re very busy
DOCE Discovery Session | Building Inspectors Group 1,50,"Can’t issue without zone check, they don’t update IPS case"
DOCE Discovery Session | Building Inspectors Group 1,51,"Other depts that get involved – don't update IPS with notes, can be an issue"
DOCE Discovery Session | Building Inspectors Group 1,52,"Inspectors are point of contact – get people calling – waiting for BAA, Law or Zoning"
DOCE Discovery Session | Building Inspectors Group 1,53,Nob Hill – cited over 2 years ago for elevators – due in 2019
DOCE Discovery Session | Building Inspectors Group 1,54,Ashlie - she didn’t know they were – can't cite if don’t know it’s expired
DOCE Discovery Session | Building Inspectors Group 1,55,Referred to Law in May 2024
DOCE Discovery Session | Building Inspectors Group 1,56,DOCE get blamed a lot
DOCE Discovery Session | Building Inspectors Group 1,57,2 years since it’s been referred to Law and no note from Law
DOCE Discovery Session | Building Inspectors Group 1,58,Inspectors aren’t updated with info when cases are in court even some times – gets info from syracuse.com
DOCE Discovery Session | Building Inspectors Group 1,59,"Third-party inspectors: Sprinklers, fire alarm, smoke certs if hardwired, boilers/furnace, HVAC, elevators"
DOCE Discovery Session | Building Inspectors Group 1,60,Will put reports to fire marshal and they will review and approve
DOCE Discovery Session | Building Inspectors Group 1,61,Only a few have access to Compliance Engine to look it up
DOCE Discovery Session | Building Inspectors Group 1,62,Water check – gets another inspector to look up the water movement
DOCE Discovery Session | Building Inspectors Group 1,63,Difficult for AS400 to use
DOCE Discovery Session | Building Inspectors Group 1,64,Technology
DOCE Discovery Session | Building Inspectors Group 1,65,See the water and elevator certs – have to ask Sonya – no note if it’s passed or paid
DOCE Discovery Session | Building Inspectors Group 1,66,i.e. Can’t finish the CofC application until that’s in
DOCE Discovery Session | Building Inspectors Group 1,67,Tools – Camino for permits
DOCE Discovery Session | Building Inspectors Group 1,68,Can read notes from owners
DOCE Discovery Session | Building Inspectors Group 1,69,Mainly checking if doing work without a permit
DOCE Discovery Session | Building Inspectors Group 1,70,Also where applications come in for CofCs
DOCE Discovery Session | Building Inspectors Group 1,71,"May check on whether they’re pulling permits, whether its passed"
DOCE Discovery Session | Building Inspectors Group 1,72,Wait on zoning again
DOCE Discovery Session | Building Inspectors Group 1,73,"Approvals for CofUs – redtape owners need to go through – slows down the process – DPW, zoning, Law, police"
DOCE Discovery Session | Building Inspectors Group 1,74,IPS – likes
DOCE Discovery Session | Building Inspectors Group 1,75,Tickle dates – reminder dates are helpful
DOCE Discovery Session | Building Inspectors Group 1,76,Too many cases that they manage
DOCE Discovery Session | Building Inspectors Group 1,77,Ashlie – liked AS400 – had everything in there
DOCE Discovery Session | Building Inspectors Group 1,78,Now hopping back and forth
DOCE Discovery Session | Building Inspectors Group 1,79,Likes that all documents and images are saved in there – even communication with owner
DOCE Discovery Session | Building Inspectors Group 1,80,"With BAA, have to provide pictures"
DOCE Discovery Session | Building Inspectors Group 1,81,Photos also helpful for inspectors – compare/contrast
DOCE Discovery Session | Building Inspectors Group 1,82,Options for actions in IPS – everything all in there
DOCE Discovery Session | Building Inspectors Group 1,83,If you’re interrupted
DOCE Discovery Session | Building Inspectors Group 1,84,AS400 you can look up missed assignments
DOCE Discovery Session | Building Inspectors Group 1,85,Couldn’t save documents in there – had to go into Onbase
