focus_group,pain_points,processed_text
BAA Supervisors & Admin Aide,Manual ticketing process,Manual ticketing process
BAA Supervisors & Admin Aide,Overachieving user account,Overachieving user account
BAA Supervisors & Admin Aide,payments,payments
BAA Supervisors & Admin Aide,Hearings:,Hearings:
BAA Supervisors & Admin Aide,"Ability to contest, schedule by HO","Ability to contest, schedule by HO"
BAA Supervisors & Admin Aide,Ability to issue decision by ALJ,Ability to issue decision by ALJ
BAA Supervisors & Admin Aide,SOP process,SOP process
BAA Supervisors & Admin Aide,Appeal process,Appeal process
BAA Supervisors & Admin Aide,View evidence,View evidence
BAA Supervisors & Admin Aide,Online dispute,Online dispute
BAA Supervisors & Admin Aide,Codes nail/mail tickets with QR code to online portal = constituent portal to view evidence pay/dispute appeal,Codes nail/mail tickets with QR code to online portal = constituent portal to view evidence pay/dispute appeal
BAA Supervisors & Admin Aide,Inability to parse out multiple violations = ease of use for multiple tickets = service,Inability to parse out multiple violations = ease of use for multiple tickets = service
BAA Supervisors & Admin Aide,Multiple “actions” not being used,Multiple “actions” not being used
BAA Supervisors & Admin Aide,Communication with codes,Communication with codes
BAA Supervisors & Admin Aide,Case not linked into inputted in one case not available in another with same owner/property,Case not linked into inputted in one case not available in another with same owner/property
BAA Supervisors & Admin Aide,Can't search for LLC,Can't search for LLC
BAA Supervisors & Admin Aide,Unreliable address search,Unreliable address search
BAA Supervisors & Admin Aide,Unreliable reports,Unreliable reports
BAA Supervisors & Admin Aide,Too many interfaces not linking info (i.e. parcel search),Too many interfaces not linking info (i.e. parcel search)
BAA Supervisors & Admin Aide,Note taking (nothing technical),Note taking (nothing technical)
DOCE Building Inspectors,Updated Contact Information,Updated Contact Information
DOCE Building Inspectors,Updated address,Updated address
DOCE Building Inspectors,Task to be done for inspection addressed before Inspection,Task to be done for inspection addressed before Inspection
DOCE Building Inspectors,Citing in field,Citing in field
DOCE Building Inspectors,Required permits,Required permits
DOCE Building Inspectors,Having to rely on other people,Having to rely on other people
DOCE Building Inspectors,So many systems,So many systems
DOCE Building Inspectors,Lack of communication,Lack of communication
DOCE Building Inspectors,Getting blamed for slow BAA and Law process,Getting blamed for slow BAA and Law process
DOCE Building Inspectors,Zoning approval/zone check,Zoning approval/zone check
DOCE Building Inspectors,Tax delinquecy,Tax delinquecy
DOCE Building Inspectors,Elevator certification,Elevator certification
DOCE Building Inspectors,Water certification,Water certification
CPC,BAA fines,BAA fines
CPC,Open / closed symbols on complaints,Open / closed symbols on complaints
CPC,Violation sheet mixed with everything else,Violation sheet mixed with everything else
CPC,Searching complaints by address – most green / pink icons are incorrect,Searching complaints by address – most green / pink icons are incorrect
CPC,When a property has many violations- it loads slower,When a property has many violations- it loads slower
CPC,Search by ticket number and violation number,Search by ticket number and violation number
CPC,Currently only allows search by ticket number,Currently only allows search by ticket number
CPC,It’s straightforward,It’s straightforward
CPC,Ability to cross-reference account other than address,Ability to cross-reference account other than address
CPC,Any accounts listed under an individual,Any accounts listed under an individual
DOCE Central Permit Office,Too many applications,Too many applications
DOCE Central Permit Office,Lack of integration (data being shared),Lack of integration (data being shared)
DOCE Central Permit Office,Notification to code enforcement applicants and reviews,Notification to code enforcement applicants and reviews
DOCE Central Permit Office,Split permits and codes,Split permits and codes
DOCE Central Permit Office,Reads less like a report and more like a hunt for information,Reads less like a report and more like a hunt for information
DOCE Central Permit Office,In camino when application uploads the wrong document,In camino when application uploads the wrong document
DOCE CPO Coordinators,Moving things / duplicating from Camino to IPS,Moving things / duplicating from Camino to IPS
DOCE CPO Coordinators,Application process made more difficult with Camino,Application process made more difficult with Camino
DOCE CPO Coordinators,60day notices: crashes and takes time to process,60day notices: crashes and takes time to process
DOCE CPO Coordinators,Applicant communication,Applicant communication
DOCE CPO Coordinators,Updating owner information,Updating owner information
DOCE CPO Coordinators,Why is family based not in Camino,Why is family based not in Camino
DOCE Admin Aides,Filling out appointments separately,Filling out appointments separately
DOCE Admin Aides,Sometimes it saves sometimes it doesn’t; different parts of IPS setup differently not cohesive throughout,Sometimes it saves sometimes it doesn’t; different parts of IPS setup differently not cohesive throughout
DOCE Admin Aides,Cannot search person with associated addresses/complaints,Cannot search person with associated addresses/complaints
DOCE Admin Aides,Difficult to find individual complaints,Difficult to find individual complaints
DOCE Admin Aides,Reverts to former address updated addresses don’t always stay saved,Reverts to former address updated addresses don’t always stay saved
DOCE Admin Aides,Phone calls dropping,Phone calls dropping
