Focus Group,Pain Point,processed_content,label,VADER,Business Score,processed_pain_points
CPO Central Permit Office,Split Permit & Code Systems: Permit and Code Enforcement information exists in separate systems and workflows.,split permit code system permit code enforcement information exists separate system workflow,neutral,0.0,0,split permit code system permit code enforcement information exists separate system workflow
CPO Central Permit Office,"Scattered Information: Property and permit information is distributed across IPS, Camino, AS400, OnBase, and historical archives.",scattered information property permit information distributed across ip camino onbase historical archive,neutral,0.0,-3,scattered information property permit information distributed across ip camino onbase historical archive
CPO Central Permit Office,Research Complexity: Users must search multiple systems to understand complete property history.,research complexity user must search multiple system understand complete property history,neutral,0.0,-4,research complexity user must search multiple system understand complete property history
CPO Central Permit Office,"Difficult Information Retrieval: Finding relevant information often feels like ""hunting"" through multiple systems.",difficult information retrieval finding relevant information often feel like hunting multiple system,neutral,0.0,-5,difficult information retrieval finding relevant information often feel like hunting multiple system
CPO Central Permit Office,Limited IPS-Camino Integration: Information does not flow seamlessly between systems.,limited integration information flow seamlessly system,negative,-0.2263,-2,limited integration information flow seamlessly system
CPO Central Permit Office,No Shared Permit/Violation Visibility: Permit reviewers cannot easily see related code information.,shared visibility permit reviewer easily see related code information,positive,-0.211,-3,shared visibility permit reviewer easily see related code information
CPO Central Permit Office,Duplicate Research Effort: Staff repeatedly search for the same information across systems.,duplicate research effort staff repeatedly search information across system,neutral,0.0,-4,duplicate research effort staff repeatedly search information across system
CPO Central Permit Office,Limited Status Transparency: Applicants cannot easily see permit status and review progress.,limited status transparency applicant easily see permit status review progress,positive,-0.0351,-5,limited status transparency applicant easily see permit status review progress
CPO Central Permit Office,Review Status Gaps: Difficult for applicants to understand where applications are within the review process.,review status gap difficult applicant understand application within review process,negative,-0.3612,-3,review status gap difficult applicant understand application within review process
CPO Central Permit Office,Communication Burden: Staff spend significant time responding to status inquiries.,communication burden staff spend significant time responding status inquiry,negative,-0.2732,0,communication burden staff spend significant time responding status inquiry
CPO Central Permit Office,Documentation Gaps: Existing systems do not adequately support permit documentation needs.,documentation gap existing system adequately support permit documentation need,positive,-0.3089,0,documentation gap existing system adequately support permit documentation need
CPO Central Permit Office,Historical Records Across Multiple Sources: Research requires navigating legacy repositories.,historical record across multiple source research requires navigating legacy repository,neutral,0.0,-6,historical record across multiple source research requires navigating legacy repository
CPO Central Permit Office,No Centralized Repository: Information is spread across numerous databases and archives.,centralized repository information spread across numerous database archive,neutral,-0.296,0,centralized repository information spread across numerous database archive
CPO Central Permit Office,Application & Review Challenges,application review challenge,positive,0.0772,0,application review challenge
CPO Central Permit Office,Too Many Applications: Large permit volumes create administrative workload.,many application large permit volume create administrative workload,positive,0.2732,0,many application large permit volume create administrative workload
