department,focus_group,pain_points,source,processed_text,sentiment
BAA,BAA ALJs,Navigating between multiple screens,worksheet,Navigating between multiple screens,negative
BAA,BAA ALJs,Repeating data entry,worksheet,Repeating data entry,positive
BAA,BAA ALJs,No full access to IPS,worksheet,No full access to IPS,negative
BAA,BAA ALJs,Initial user frustration (learning curve),worksheet,Initial user frustration (learning curve),negative
BAA,BAA ALJs,One owner with multiple properties,worksheet,One owner with multiple properties,positive
BAA,BAA ALJs,Need to look up each address,worksheet,Need to look up each address,positive
BAA,BAA ALJs,Cannot pull a case up with violation number,worksheet,Cannot pull a case up with violation number,negative
BAA,BAA ALJs,Decision bank,worksheet,Decision bank,positive
BAA,BAA ALJs,Looking for details or specific information,worksheet,Looking for details or specific information,negative
BAA,BAA ALJs,One property to multiple owner,worksheet,One property to multiple owner,negative
BAA,BAA ALJs,Rental Registry doesn't transfer into notes,worksheet,Rental Registry doesn't transfer into notes,negative
BAA,BAA ALJs,Scheduling of hearings and case posture/history/state/ not readable apparent in IPS,worksheet,Scheduling of hearings and case posture/history/state/ not readable apparent in IPS,negative
BAA,BAA ALJs,"Fines, fees difficult to distinguish in IPS",worksheet,"Fines, fees difficult to distinguish in IPS",negative
BAA,BAA ALJs,Cannot easily rename files in IPS,worksheet,Cannot easily rename files in IPS,negative
BAA,BAA ALJs,Too many windows,worksheet,Too many windows,negative
BAA,BAA ALJs,Automatic records of adjudication downloads / uploads,worksheet,Automatic records of adjudication downloads / uploads,negative
BAA,BAA ALJs,No decision bank,worksheet,No decision bank,negative
BAA,BAA ALJs,No change tracking,worksheet,No change tracking,positive
BAA,BAA ALJs,No Related properties visualization,worksheet,No Related properties visualization,negative
BAA,BAA ALJs,Track of service / check USPS,worksheet,Track of service / check USPS,negative
BAA,BAA Operations,Search case when client doesn't have a violation number,worksheet,Search case when client doesn't have a violation number,negative
BAA,BAA Operations,Case notes not submitted in one spot,worksheet,Case notes not submitted in one spot,negative
BAA,BAA Operations,Not very visual or information are not put together (notes),worksheet,Not very visual or information are not put together (notes),negative
BAA,BAA Operations,Actions log is so hard to understand,worksheet,Actions log is so hard to understand,negative
