department,focus_group,expectations,source,processed_text,sentiment
BAA,BAA ALJs,"Allow date, user to propagate",worksheet,"Allow date, user to propagate",positive
BAA,BAA ALJs,Easier navigation,worksheet,Easier navigation,positive
BAA,BAA ALJs,Streamlined data input,worksheet,Streamlined data input,negative
BAA,BAA ALJs,Up front learning curve should be easier,worksheet,Up front learning curve should be easier,positive
BAA,BAA ALJs,Centralized dropdown like AIMS: Owner to properties to cases to violations,worksheet,Centralized dropdown like AIMS: Owner to properties to cases to violations,negative
BAA,BAA ALJs,Case -> violations number (drop down but searchable by violation number),worksheet,Case -> violations number (drop down but searchable by violation number),negative
BAA,BAA ALJs,Autogenerate common decisions with and edit feature,worksheet,Autogenerate common decisions with and edit feature,positive
BAA,BAA ALJs,"Overview page: violation issued, violation status, date resolve",worksheet,"Overview page: violation issued, violation status, date resolve",negative
BAA,BAA ALJs,Property sold but sometimes don't open violations disappear. Gets confusing with new names and new citations same violations,worksheet,Property sold but sometimes don't open violations disappear. Gets confusing with new names and new citations same violations,negative
BAA,BAA ALJs,Payments tab should include a tracker like AIMS showing the changes and why (comment) and by which user,worksheet,Payments tab should include a tracker like AIMS showing the changes and why (comment) and by which user,positive
BAA,BAA ALJs,Tracking with USPS tracking number -? A way too automatically do this,worksheet,Tracking with USPS tracking number -? A way too automatically do this,negative
BAA,BAA ALJs,Instead of having to download emails and manually uploading them -> drag and drop for attachments,worksheet,Instead of having to download emails and manually uploading them -> drag and drop for attachments,negative
BAA,BAA ALJs,Built-in recording system – automatic,worksheet,Built-in recording system – automatic,neutral
BAA,BAA ALJs,Application for codes to input information immediately.,worksheet,Application for codes to input information immediately.,negative
BAA,BAA ALJs,An adjudication specific module,worksheet,An adjudication specific module,negative
BAA,BAA ALJs,Better designation of fines / fees and which violation it is associated with,worksheet,Better designation of fines / fees and which violation it is associated with,positive
BAA,BAA ALJs,Better layout and more intuitive UI,worksheet,Better layout and more intuitive UI,positive
BAA,BAA ALJs,(to keep) Drag and drop of some documents,worksheet,(to keep) Drag and drop of some documents,negative
BAA,BAA ALJs,(to keep) Color coding of actions / departments,worksheet,(to keep) Color coding of actions / departments,positive
BAA,BAA Operations,Case notes together like in alta via.,worksheet,Case notes together like in alta via.,negative
BAA,BAA Operations,(to keep) Very detailed on information,worksheet,(to keep) Very detailed on information,positive
BAA,BAA Operations,Easier to find information like reservice / notes,worksheet,Easier to find information like reservice / notes,negative
BAA,BAA Operations,We dont need 30 different green shades but i do like different color for different department,worksheet,We dont need 30 different green shades but i do like different color for different department,positive
BAA,BAA Operations,Be able to type in different action types instead of just “case notes”,worksheet,Be able to type in different action types instead of just “case notes”,positive
BAA,BAA Operations,Wrap text instead of sliding the bar all the way over,worksheet,Wrap text instead of sliding the bar all the way over,negative
BAA,BAA Operations,A recently viewed ability would be amazing,worksheet,A recently viewed ability would be amazing,positive
BAA,BAA Operations,If we could search by address that would be so much more efficient,worksheet,If we could search by address that would be so much more efficient,positive
BAA,BAA Operations,(to keep) The color coordination of codes being one color and BAA another,worksheet,(to keep) The color coordination of codes being one color and BAA another,negative
BAA,BAA Operations,To check if rental registry have been applied for and obtained (people lie about this all the time),worksheet,To check if rental registry have been applied for and obtained (people lie about this all the time),negative
BAA,BAA Operations,Improve add tab,worksheet,Improve add tab,positive
BAA,BAA Operations,(to keep) inspections,worksheet,(to keep) inspections,positive
BAA,BAA Operations,Filter open to show all cases with fines,worksheet,Filter open to show all cases with fines,negative
BAA,BAA Operations,When clicking BAA ticketing from pending to approve either combine both or just one action,worksheet,When clicking BAA ticketing from pending to approve either combine both or just one action,negative
BAA,BAA Operations,BAA case notes with action like first round ticket button,worksheet,BAA case notes with action like first round ticket button,negative
BAA,BAA Operations,Select all fees at once when applying,worksheet,Select all fees at once when applying,positive
BAA,BAA Operations,More filter options for addresses with multiple cases,worksheet,More filter options for addresses with multiple cases,negative
BAA,BAA Operations,Less action button when going to add notes,worksheet,Less action button when going to add notes,negative
BAA,BAA Operations,Clear out some of the ones that aren't used,worksheet,Clear out some of the ones that aren't used,positive
BAA,BAA Operations,“RMI letter receival”,worksheet,“RMI letter receival”,negative
BAA,BAA Operations,Add RMI letter mailed,worksheet,Add RMI letter mailed,negative
BAA,BAA Operations,(to keep) Want to keep the drag and drop option,worksheet,(to keep) Want to keep the drag and drop option,positive
BAA,BAA Operations,Just want it cleaned up and organized more,worksheet,Just want it cleaned up and organized more,positive
BAA,BAA Supervisors,Automate tickets,worksheet,Automate tickets,positive
BAA,BAA Supervisors,Link all tickets/complaints for a property of house owner,worksheet,Link all tickets/complaints for a property of house owner,neutral
BAA,BAA Supervisors,Limit to the ones used,worksheet,Limit to the ones used,positive
