department,focus_group,expectations,source,processed_text,sentiment,categorize_text,semantic_category,semantic_score,keyword_category,keyword_score,Category,Category_Method,Category_Confidence,Cluster_Raw,Cluster,Assign_Status,Cluster_Label
BAA,BAA ALJs,(to keep) Drag and drop of some documents,worksheet,(to keep) Drag and drop of some documents,negative,(to keep) Drag and drop of some documents,Records & Document Management,0.3237984,Records & Document Management,4.0,Records & Document Management,keyword_semantic_agree,4.323798388242722,5,5,HDBSCAN cluster,User Experience & Performance
BAA,BAA ALJs,(to keep) Color coding of actions / departments,worksheet,(to keep) Color coding of actions / departments,positive,(to keep) Color coding of actions / departments,Communication & Collaboration,0.34428117,User Experience & Performance,8.0,User Experience & Performance,keyword,8.0,-1,5,Soft-assigned,User Experience & Performance
BAA,BAA Operations,(to keep) Very detailed on information,worksheet,(to keep) Very detailed on information,positive,(to keep) Very detailed on information,Data Management & Visibility,0.37159452,Data Management & Visibility,3.0,Data Management & Visibility,keyword_semantic_agree,3.3715945184230804,8,8,HDBSCAN cluster,User Experience & Performance
BAA,BAA Operations,(to keep) The color coordination of codes being one color and BAA another,worksheet,(to keep) The color coordination of codes being one color and BAA another,negative,(to keep) The color coordination of codes being one color and BAA another,Communication & Collaboration,0.20939699,Case Management,4.0,Case Management,keyword,4.0,-1,5,Soft-assigned,User Experience & Performance
BAA,BAA Operations,(to keep) inspections,worksheet,(to keep) inspections,positive,(to keep) inspections,Scheduling & Resource Management,0.21146439,Case Management,4.0,Case Management,keyword,4.0,16,16,HDBSCAN cluster,Scheduling & Resource Management
BAA,BAA Operations,(to keep) Want to keep the drag and drop option,worksheet,(to keep) Want to keep the drag and drop option,positive,(to keep) Want to keep the drag and drop option,Records & Document Management,0.12777825,Other,0.0,Records & Document Management,semantic_fallback,0.12777824699878693,5,5,HDBSCAN cluster,User Experience & Performance
BAA,BAA Supervisors,(to keep) Search criteria,worksheet,(to keep) Search criteria,neutral,(to keep) Search criteria,Records & Document Management,0.24001543,User Experience & Performance,4.0,User Experience & Performance,keyword,4.0,14,14,HDBSCAN cluster,Records & Document Management
BAA,BAA Supervisors,(to keep) Actions with space for notes,worksheet,(to keep) Actions with space for notes,neutral,(to keep) Actions with space for notes,Scheduling & Resource Management,0.11771612,User Experience & Performance,8.0,User Experience & Performance,keyword,8.0,5,5,HDBSCAN cluster,User Experience & Performance
BAA,BAA Supervisors,(to keep) Payment tab relatively easy to use,worksheet,(to keep) Payment tab relatively easy to use,positive,(to keep) Payment tab relatively easy to use,Records & Document Management,0.06606322,User Experience & Performance,5.0,User Experience & Performance,keyword,5.0,11,11,HDBSCAN cluster,Case Management
BAA,BAA Supervisors,(to keep) Tax id search is reliable,worksheet,(to keep) Tax id search is reliable,positive,(to keep) Tax id search is reliable,Records & Document Management,0.1903096,User Experience & Performance,4.0,User Experience & Performance,keyword,4.0,14,14,HDBSCAN cluster,Records & Document Management
BAA,BAA Supervisors,(to keep) Don't use it enough,worksheet,(to keep) Don't use it enough,negative,(to keep) Don't use it enough,User Experience & Performance,0.21151432,Other,0.0,User Experience & Performance,semantic_fallback,0.21151432394981384,8,8,HDBSCAN cluster,User Experience & Performance
