focus_group_name,pain_point,expectations
BAA Supervisors & Admin Aide,Manual ticketing process,
BAA Supervisors & Admin Aide,Overachieving user account,
BAA Supervisors & Admin Aide,payments,
BAA Supervisors & Admin Aide,Hearings:,
BAA Supervisors & Admin Aide,"Ability to contest, schedule by HO",
BAA Supervisors & Admin Aide,Ability to issue decision by ALJ,
BAA Supervisors & Admin Aide,SOP process,
BAA Supervisors & Admin Aide,Appeal process,
BAA Supervisors & Admin Aide,View evidence,
BAA Supervisors & Admin Aide,Online dispute,
BAA Supervisors & Admin Aide,Codes nail/mail tickets with QR code to online portal = constituent portal to view evidence pay/dispute appeal,
BAA Supervisors & Admin Aide,Inability to parse out multiple violations = ease of use for multiple tickets = service,
BAA Supervisors & Admin Aide,,Automate tickets
BAA Supervisors & Admin Aide,,Link all tickets/complaints for a property of house owner
BAA Supervisors & Admin Aide,Multiple “actions” not being used,
BAA Supervisors & Admin Aide,Communication with codes,
BAA Supervisors & Admin Aide,,Limit to the ones used
BAA Supervisors & Admin Aide,Case not linked into inputted in one case not available in another with same owner/property,
BAA Supervisors & Admin Aide,Can't search for LLC,
BAA Supervisors & Admin Aide,Unreliable address search,
BAA Supervisors & Admin Aide,Unreliable reports,
BAA Supervisors & Admin Aide,Too many interfaces not linking info (i.e. parcel search),
BAA Supervisors & Admin Aide,,Linked cases is biggest
BAA Supervisors & Admin Aide,,Case note button on top with actions and inspections so wouldn’t have to scroll
BAA Supervisors & Admin Aide,,BAA inspections different color from codes
BAA Supervisors & Admin Aide,,revamp actions
BAA Supervisors & Admin Aide,Note taking (nothing technical),
BAA Supervisors & Admin Aide,,Putting notes in uniform manner
DOCE Building Inspectors,Updated Contact Information,
DOCE Building Inspectors,Updated address,
DOCE Building Inspectors,Task to be done for inspection addressed before Inspection,
DOCE Building Inspectors,,Make sure we have the most current information
DOCE Building Inspectors,,Make sure we have the most current address
DOCE Building Inspectors,,Better communication
DOCE Building Inspectors,,Sprinkler system reports & elevator reports – access to them at least
DOCE Building Inspectors,Citing in field,
DOCE Building Inspectors,Required permits,
DOCE Building Inspectors,,Tablets that are faster
DOCE Building Inspectors,,Communication within departments
DOCE Building Inspectors,,Apps on iPhone
DOCE Building Inspectors,Having to rely on other people,
DOCE Building Inspectors,So many systems,
DOCE Building Inspectors,Lack of communication,
DOCE Building Inspectors,Getting blamed for slow BAA and Law process,
DOCE Building Inspectors,,Single system
DOCE Building Inspectors,,Single system
DOCE Building Inspectors,,The same as AS400.
DOCE Building Inspectors,,If it could hold everything I need.
DOCE Building Inspectors,Zoning approval/zone check,
DOCE Building Inspectors,Tax delinquecy,
DOCE Building Inspectors,Elevator certification,
DOCE Building Inspectors,Water certification,
DOCE Building Inspectors,,Have a note that says pass instead calling permits
DOCE Building Inspectors,,Have that in IPS
DOCE Building Inspectors,,Just elevator certificate
CPC,BAA fines,
CPC,Open / closed symbols on complaints,
CPC,,BAA update timely
CPC,,User updates
CPC,,"At a glance status of properties – RR renewal date, same for CofU, CofC, VPR."
CPC,Violation sheet mixed with everything else,
CPC,,Maybe a tab just for BAA violation ticket and not mixed in with the warning and everything else
CPC,,The information IPS has is good but just a tab for violation ticket separate for all the warning and image would make things easier
CPC,,Can the IPS software automatically add the late fees to all existing code violations to avoid incorrect information being recorded or provided to the customer.
CPC,,Can the violation and BAA ticket be different and not so identical for easy processing purpose and not to confuse everyone involved.
CPC,Searching complaints by address – most green / pink icons are incorrect,
CPC,When a property has many violations- it loads slower,
CPC,Search by ticket number and violation number,
CPC,Currently only allows search by ticket number,
CPC,,I could help update when I see some that could be closed
CPC,,Maybe its my computer
CPC,,Add one more search function
CPC,,"After searching by owner name or address, if the list of violations could show the amount owed. It would save more time opening each violations."
CPC,It’s straightforward,
CPC,Ability to cross-reference account other than address,
CPC,Any accounts listed under an individual,
CPC,,Businesses on system should also list owner’s / responsible party name
CPC,,System could automatically duplicate email address + phone for every account on system once completed for one account manually
CPC,,Recode items which have current money owed to a “Red dot“ instead of purple or green so it stands out and would eliminate need to double click each entry.
CPC,,AS400 – water
CPC,,Need to duplicate password entry
DOCE Central Permit Office,Too many applications,
DOCE Central Permit Office,Lack of integration (data being shared),
DOCE Central Permit Office,Notification to code enforcement applicants and reviews,
DOCE Central Permit Office,,One database that stores and allows /facilitates application progress
DOCE Central Permit Office,,Improve documentation capabilities
DOCE Central Permit Office,Split permits and codes,
DOCE Central Permit Office,Reads less like a report and more like a hunt for information,
DOCE Central Permit Office,,Ideally it would be aide to someone integrate with camino.
DOCE Central Permit Office,,I think from codes perspective the information is scattered
DOCE Central Permit Office,,"Eg. Ideally, If IPS could integrate with Camino if a violation were in the system it could trigger an alert in camino on app>"
