focus_group,pain_points,processed_text,sentiment
CPO Central Permit Office,Split Permit & Code Systems: Permit and Code Enforcement information exists in separate systems and workflows.,split permit code systems permit and code enforcement information exists in separate systems and workflows,neutral
CPO Central Permit Office,"Scattered Information: Property and permit information is distributed across IPS, Camino, AS400, OnBase, and historical archives.",scattered information property and permit information is distributed across ips camino as onbase and historical archives,neutral
CPO Central Permit Office,Research Complexity: Users must search multiple systems to understand complete property history.,research complexity users must search multiple systems to understand complete property history,neutral
CPO Central Permit Office,"Difficult Information Retrieval: Finding relevant information often feels like ""hunting"" through multiple systems.",difficult information retrieval finding relevant information often feels like hunting through multiple systems,neutral
CPO Central Permit Office,Limited IPS-Camino Integration: Information does not flow seamlessly between systems.,limited ips camino integration information does not flow seamlessly between systems,negative
CPO Central Permit Office,No Shared Permit/Violation Visibility: Permit reviewers cannot easily see related code information.,no shared permit violation visibility permit reviewers cannot easily see related code information,negative
CPO Central Permit Office,Duplicate Research Effort: Staff repeatedly search for the same information across systems.,duplicate research effort staff repeatedly search for the same information across systems,neutral
CPO Central Permit Office,No Automatic Cross-System Notifications: Permit and code workflows do not automatically notify each other.,no automatic cross system notifications permit and code workflows do not automatically notify each other,negative
CPO Central Permit Office,Limited Status Transparency: Applicants cannot easily see permit status and review progress.,limited status transparency applicants cannot easily see permit status and review progress,neutral
CPO Central Permit Office,Review Status Gaps: Difficult for applicants to understand where applications are within the review process.,review status gaps difficult for applicants to understand where applications are within the review process,negative
CPO Central Permit Office,Communication Burden: Staff spend significant time responding to status inquiries.,communication burden staff spend significant time responding to status inquiries,negative
CPO Central Permit Office,Documentation Gaps: Existing systems do not adequately support permit documentation needs.,documentation gaps existing systems do not adequately support permit documentation needs,negative
CPO Central Permit Office,Historical Records Across Multiple Sources: Research requires navigating legacy repositories.,historical records across multiple sources research requires navigating legacy repositories,neutral
CPO Central Permit Office,No Centralized Repository: Information is spread across numerous databases and archives.,no centralized repository information is spread across numerous databases and archives,negative
CPO Central Permit Office,Too Many Applications: Large permit volumes create administrative workload.,too many applications large permit volumes create administrative workload,positive
CPO Central Permit Office,Incorrect Document Uploads: Applicants frequently upload incorrect or incomplete documentation.,incorrect document uploads applicants frequently upload incorrect or incomplete documentation,neutral
CPO Central Permit Office,Review Delays: Applications can stall while waiting on reviews from other departments.,review delays applications can stall while waiting on reviews from other departments,negative
CPO Central Permit Office,Manual Tracking Requirements: Staff use spreadsheets and external tools to monitor progress.,manual tracking requirements staff use spreadsheets and external tools to monitor progress,positive
CPO Central Permit Office,Cross-Department Dependencies: Progress depends on multiple departments completing reviews.,cross department dependencies progress depends on multiple departments completing reviews,positive
CPO Central Permit Office,Permit-to-Code Disconnect: Code Enforcement and permitting activities are not fully synchronized.,permit to code disconnect code enforcement and permitting activities are not fully synchronized,neutral
CPO Central Permit Office,Reviewer Coordination: Managing comments and approvals from multiple reviewers is time-consuming.,reviewer coordination managing comments and approvals from multiple reviewers is time consuming,neutral
BAA BAA Supervisors,Manual Ticket Processing: Administrative tickets and hearing workflows rely on significant manual effort and repetitive data entry rather than automated workflows.,manual ticket processing administrative tickets and hearing workflows rely on significant manual effort and repetitive data entry rather than automated workflows,negative
