department,focus_group,pain_points,source,processed_text
BAA,BAA ALJs,Navigating between multiple screens,worksheet,Navigating between multiple screens
BAA,BAA ALJs,Repeating data entry,worksheet,Repeating data entry
BAA,BAA ALJs,No full access to IPS,worksheet,No full access to IPS
BAA,BAA ALJs,Initial user frustration (learning curve),worksheet,Initial user frustration (learning curve)
BAA,BAA ALJs,One owner with multiple properties,worksheet,One owner with multiple properties
BAA,BAA ALJs,Need to look up each address,worksheet,Need to look up each address
BAA,BAA ALJs,Cannot pull a case up with violation number,worksheet,Cannot pull a case up with violation number
BAA,BAA ALJs,Decision bank,worksheet,Decision bank
BAA,BAA ALJs,Looking for details or specific information,worksheet,Looking for details or specific information
BAA,BAA ALJs,One property to multiple owner,worksheet,One property to multiple owner
BAA,BAA ALJs,Rental Registry doesn't transfer into notes,worksheet,Rental Registry doesn't transfer into notes
BAA,BAA ALJs,Scheduling of hearings and case posture/history/state/ not readable apparent in IPS,worksheet,Scheduling of hearings and case posture/history/state/ not readable apparent in IPS
BAA,BAA ALJs,"Fines, fees difficult to distinguish in IPS",worksheet,"Fines, fees difficult to distinguish in IPS"
BAA,BAA ALJs,Cannot easily rename files in IPS,worksheet,Cannot easily rename files in IPS
BAA,BAA ALJs,Too many windows,worksheet,Too many windows
BAA,BAA ALJs,Automatic records of adjudication downloads / uploads,worksheet,Automatic records of adjudication downloads / uploads
BAA,BAA ALJs,No decision bank,worksheet,No decision bank
BAA,BAA ALJs,No change tracking,worksheet,No change tracking
BAA,BAA ALJs,No Related properties visualization,worksheet,No Related properties visualization
BAA,BAA ALJs,Track of service / check USPS,worksheet,Track of service / check USPS
BAA,BAA Operations,Search case when client doesn't have a violation number,worksheet,Search case when client doesn't have a violation number
BAA,BAA Operations,Case notes not submitted in one spot,worksheet,Case notes not submitted in one spot
BAA,BAA Operations,Not very visual or information are not put together (notes),worksheet,Not very visual or information are not put together (notes)
BAA,BAA Operations,Actions log is so hard to understand,worksheet,Actions log is so hard to understand
BAA,BAA Operations,No hearing schedule: a way to view hearings in designated time frame,worksheet,No hearing schedule: a way to view hearings in designated time frame
BAA,BAA Operations,Having to search by tax ID instead of address,worksheet,Having to search by tax ID instead of address
BAA,BAA Operations,Not being able to search by address,worksheet,Not being able to search by address
BAA,BAA Operations,When you search one of the previews should show fine amount,worksheet,When you search one of the previews should show fine amount
BAA,BAA Operations,Would love for there to be a “hearing schedule (date)” action that then makes a schedule,worksheet,Would love for there to be a “hearing schedule (date)” action that then makes a schedule
BAA,BAA Operations,A way to filter the action log so you can see only “BAA” or only “codes”,worksheet,A way to filter the action log so you can see only “BAA” or only “codes”
BAA,BAA Operations,Repeat same information,worksheet,Repeat same information
BAA,BAA Operations,Hunting for files,worksheet,Hunting for files
BAA,BAA Operations,Respondent cannot access files,worksheet,Respondent cannot access files
BAA,BAA Operations,Violation searches: have to search for address then click each case to see if any open fees,worksheet,Violation searches: have to search for address then click each case to see if any open fees
BAA,BAA Operations,In IPS have to approve pending tickets twice.,worksheet,In IPS have to approve pending tickets twice.
BAA,BAA Operations,BAA case notes: if multiple rounds of tickets only way to make sure correct note is based on date,worksheet,BAA case notes: if multiple rounds of tickets only way to make sure correct note is based on date
BAA,BAA Operations,"Adding default fees, you have to do individually",worksheet,"Adding default fees, you have to do individually"
BAA,BAA Operations,Manually opening each case to see if theres a fine,worksheet,Manually opening each case to see if theres a fine
BAA,BAA Operations,There are so many tabs that aren't used,worksheet,There are so many tabs that aren't used
BAA,BAA Operations,Inspections tab needs to contain more things,worksheet,Inspections tab needs to contain more things
BAA,BAA Operations,Just need more options for what we currently do more drop downs,worksheet,Just need more options for what we currently do more drop downs
BAA,BAA Supervisors,Manual ticketing process,worksheet,Manual ticketing process
BAA,BAA Supervisors,Overachieving user account,worksheet,Overachieving user account
BAA,BAA Supervisors,payments,worksheet,payments
BAA,BAA Supervisors,Hearings:,worksheet,Hearings:
BAA,BAA Supervisors,"Ability to contest, schedule by HO",worksheet,"Ability to contest, schedule by HO"
BAA,BAA Supervisors,Ability to issue decision by ALJ,worksheet,Ability to issue decision by ALJ
