expectations,department,focus_group,source,final_category,sentiment,Category,Category_Confidence,Category_Method,Cluster_Label,Cluster,Cluster_Size,Cluster_Purity,Cluster_Purity_Adj,Category_Confidence,Category_Confidence_Norm,Assign_Status
"Allow date, user to propagate",BAA,BAA ALJs,worksheet,Scheduling & Resource Management,positive,Scheduling & Resource Management,2.146408334374428,keyword_semantic_agree,Scheduling & Resource Management,0,16,0.8125,0.640652557319224,2.146408334374428,0.21446710723436083,HDBSCAN cluster
Easier navigation,BAA,BAA ALJs,worksheet,User Experience & Performance,positive,User Experience & Performance,3.1860386729240417,keyword_semantic_agree,User Experience & Performance,5,61,0.3442622950819672,0.3305274971941639,3.1860386729240417,0.318345995389535,HDBSCAN cluster
Streamlined data input,BAA,BAA ALJs,worksheet,Data Management & Visibility,negative,Data Management & Visibility,2.0,keyword_low,Noise / unclustered,-1,17,,,2.0,0.19983812380869032,Unclustered
Up front learning curve should be easier,BAA,BAA ALJs,worksheet,Training & Documentation,positive,Training & Documentation,0.2120448648929596,semantic_fallback,Training & Documentation,15,17,0.35294117647058826,0.2798821548821549,0.2120448648929596,0.021187323981738133,HDBSCAN cluster
Centralized dropdown like AIMS: Owner to properties to cases to violations,BAA,BAA ALJs,worksheet,Case Management,negative,Case Management,10.311133325099945,keyword_semantic_agree,User Experience & Performance,5,61,0.3442622950819672,0.3305274971941639,10.311133325099945,1.0,HDBSCAN cluster
Case -> violations number (drop down but searchable by violation number),BAA,BAA ALJs,worksheet,Case Management,negative,Case Management,8.372116684913635,keyword_semantic_agree,Case Management,11,30,0.6666666666666666,0.5957671957671957,8.372116684913635,0.8365340453102864,HDBSCAN cluster
Autogenerate common decisions with and edit feature,BAA,BAA ALJs,worksheet,Reporting & Decision Support,positive,Reporting & Decision Support,2.0,keyword_low,User Experience & Performance,5,61,0.3442622950819672,0.3305274971941639,2.0,0.19983812380869032,HDBSCAN cluster
"Overview page: violation issued, violation status, date resolve",BAA,BAA ALJs,worksheet,Reporting & Decision Support,negative,Reporting & Decision Support,0.3792029917240143,semantic,Case Management,11,30,0.6666666666666666,0.5957671957671957,0.3792029917240143,0.03788960720438467,HDBSCAN cluster
Property sold but sometimes don't open violations disappear. Gets confusing with new names and new citations same violations,BAA,BAA ALJs,worksheet,Case Management,negative,Case Management,6.0,keyword,Case Management,11,30,0.6666666666666666,0.5957671957671957,6.0,0.5995143714260709,HDBSCAN cluster
Payments tab should include a tracker like AIMS showing the changes and why (comment) and by which user,BAA,BAA ALJs,worksheet,User Experience & Performance,positive,User Experience & Performance,5.0,keyword,Case Management,11,30,0.6666666666666666,0.5957671957671957,5.0,0.49959530952172576,HDBSCAN cluster
Tracking with USPS tracking number -? A way too automatically do this,BAA,BAA ALJs,worksheet,Records & Document Management,negative,Records & Document Management,0.1888922154903412,semantic_fallback,Records & Document Management,9,55,0.2545454545454545,0.2490740740740741,0.1888922154903412,0.018873932972828307,Soft-assigned
Instead of having to download emails and manually uploading them -> drag and drop for attachments,BAA,BAA ALJs,worksheet,Records & Document Management,negative,Records & Document Management,4.197554498910904,keyword_semantic_agree,User Experience & Performance,5,61,0.3442622950819672,0.3305274971941639,4.197554498910904,0.4194157078235411,HDBSCAN cluster
