Focus Group,Expectation,processed_content,label,VADER,Business Score,processed_expectations
CPO Central Permit Office,Unified Permit & Code Platform: Create a seamless connection between permit and code enforcement activities.,unified permit code platform create seamless connection permit code enforcement activity,positive,0.5719,0,unified permit code platform create seamless connection permit code enforcement activity
CPO Central Permit Office,Shared Case Visibility: Allow permit reviewers and code staff to see related activities.,shared case visibility allow permit reviewer code staff see related activity,positive,0.5106,2,shared case visibility allow permit reviewer code staff see related activity
CPO Central Permit Office,Automatic Workflow Triggers: Permit and violation activity should trigger notifications across systems.,automatic workflow trigger permit violation activity trigger notification across system,negative,-0.4939,4,automatic workflow trigger permit violation activity trigger notification across system
CPO Central Permit Office,"Integrated Property Records: Display permits, violations, certificates, and reviews in one place.",integrated property record display permit violation certificate review one place,negative,-0.5267,4,integrated property record display permit violation certificate review one place
CPO Central Permit Office,Single Property View: Consolidate all property information into a single record.,single property view consolidate property information single record,neutral,0.0,2,single property view consolidate property information single record
CPO Central Permit Office,"Historical Data Accessibility: Make historical permits, violations, and certificates easier to access.",historical data accessibility make historical permit violation certificate easier access,negative,-0.1531,2,historical data accessibility make historical permit violation certificate easier access
CPO Central Permit Office,Improved Search Capabilities: Reduce time spent locating information.,improved search capability reduce time spent locating information,positive,0.4767,8,improved search capability reduce time spent locating information
CPO Central Permit Office,"Better Property Relationships: Display related permits, violations, and ownership information together.",better property relationship display related permit violation ownership information together,negative,-0.128,2,better property relationship display related permit violation ownership information together
CPO Central Permit Office,Review Status Tracking: Improve visibility into application review progress.,review status tracking improve visibility application review progress,positive,0.6908,7,review status tracking improve visibility application review progress
CPO Central Permit Office,Applicant Status Visibility: Allow applicants to view permit status and review stages.,applicant status visibility allow applicant view permit status review stage,positive,0.2263,2,applicant status visibility allow applicant view permit status review stage
CPO Central Permit Office,"Automated Notifications: Notify applicants, reviewers, and inspectors of important updates.",automated notification notify applicant reviewer inspector important update,positive,0.2023,5,automated notification notify applicant reviewer inspector important update
CPO Central Permit Office,Integrated Reporting: Improve permit tracking and reporting capabilities.,integrated reporting improve permit tracking reporting capability,positive,0.4404,10,integrated reporting improve permit tracking reporting capability
CPO Central Permit Office,Single Source of Truth: Eliminate the need to use multiple applications and databases.,single source truth eliminate need use multiple application database,positive,0.3182,2,single source truth eliminate need use multiple application database
CPO Central Permit Office,Consolidated Documentation: Store all permit-related information in a centralized repository.,consolidated documentation store information centralized repository,neutral,0.0,3,consolidated documentation store information centralized repository
CPO Central Permit Office,Improved Historical Research: Reduce dependence on legacy systems and microfilm.,improved historical research reduce dependence legacy system microfilm,positive,0.4767,8,improved historical research reduce dependence legacy system microfilm
CPO Central Permit Office,Customizable User Views: Allow users to configure screens and workflows based on role.,customizable user view allow user configure screen workflow based role,positive,0.2263,2,customizable user view allow user configure screen workflow based role
CPO Central Permit Office,Enhanced Alerts & Notifications: Provide proactive reminders and workflow alerts.,enhanced alert notification provide proactive reminder workflow alert,positive,0.4215,4,enhanced alert notification provide proactive reminder workflow alert
CPO Central Permit Office,"Improved Document Management: Better handling of plans, reviews, and permit documentation.",improved document management better handling plan review permit documentation,positive,0.7184,8,improved document management better handling plan review permit documentation
CPO Central Permit Office,"Role-Based Dashboards: Provide permit coordinators, managers, and reviewers with tailored views.",dashboard provide permit coordinator manager reviewer tailored view,neutral,0.0,2,dashboard provide permit coordinator manager reviewer tailored view
CPO Central Permit Office,Contractor Dashboard: Better visibility into contractor information and insurance records.,contractor dashboard better visibility contractor information insurance record,positive,0.4404,7,contractor dashboard better visibility contractor information insurance record
CPO Central Permit Office,Configurable Reporting: Support permit metrics and operational reporting.,configurable reporting support permit metric operational reporting,positive,0.4019,2,configurable reporting support permit metric operational reporting
CPO Central Permit Office,Audit & User Tracking: Improve tracking of user actions and system activity.,audit user tracking improve tracking user action system activity,positive,0.4404,5,audit user tracking improve tracking user action system activity
CPO Central Permit Office,Integrated Mapping & Property Data: Connect permitting workflows with parcel and property information.,integrated mapping property data connect permitting workflow parcel property information,neutral,0.0,5,integrated mapping property data connect permitting workflow parcel property information
CPO Central Permit Office,Shared Review Visibility: Allow all stakeholders to view review progress and comments.,shared review visibility allow stakeholder view review progress comment,positive,0.7269,2,shared review visibility allow stakeholder view review progress comment
CPO Central Permit Office,Improved Communication Tools: Reduce reliance on manual follow-up and spreadsheets.,improved communication tool reduce reliance manual spreadsheet,positive,0.4767,8,improved communication tool reduce reliance manual spreadsheet
BAA BAA Supervisors,"Automated Ticket Processing: Automate ticket creation, hearing preparation, payments, appeals, and administrative workflows.",automated ticket processing automate ticket creation hearing preparation payment appeal administrative workflow,positive,0.2732,5,automated ticket processing automate ticket creation hearing preparation payment appeal administrative workflow
