Focus Group,Value Index,Content,processed_content,label,category,vader_sentiment,word_count
7DOCE Discovery Session | Admin Aides Group 1,5,Role – general role and main responsibilities,role general role main responsibility,neutral,role,neutral,5
7DOCE Discovery Session | Admin Aides Group 1,6,"Phone calls from the public – complaint line, or generalized question line, scan documents – rent holds/rentl releases, t&d, n&m ticjkets",phone call public complaint line generalized question line scan document rent release n ticjkets,negative,line,negative,14
7DOCE Discovery Session | Admin Aides Group 1,8,"Help at the window, people who in come person",help window people come person,positive,help,positive,5
7DOCE Discovery Session | Admin Aides Group 1,10,"Day to day – writing tickets, send",day day writing ticket send,neutral,day,neutral,5
7DOCE Discovery Session | Admin Aides Group 1,13,"Shawna: Take complaints, schedule inspections – get a lot of the werid calls, lots of fact finding",shawna take complaint schedule inspection get lot werid call lot fact finding,negative,lot,negative,12
7DOCE Discovery Session | Admin Aides Group 1,14,"Mastajah does most of the nail and mails, Shawna does the phones",mastajah nail mail shawna phone,neutral,mastajah,neutral,5
7DOCE Discovery Session | Admin Aides Group 1,15,"Data entry – stuff from Law, stuff from tickets",data entry stuff law stuff ticket,neutral,stuff,neutral,6
7DOCE Discovery Session | Admin Aides Group 1,17,"M: People who call, can also be person who come in person",people call also person come person,neutral,person,neutral,6
7DOCE Discovery Session | Admin Aides Group 1,20,Lots of people want to talk to supervisor,lot people want talk supervisor,positive,lot,positive,5
7DOCE Discovery Session | Admin Aides Group 1,22,"Tools: IPS, Camino, catchment map, Outlook, phones",tool ip camino catchment map outlook phone,neutral,tool,neutral,7
7DOCE Discovery Session | Admin Aides Group 1,24,"J: Sends a lot of emails, mostly to inspectors, then BAA tickets",j sends lot email mostly inspector baa ticket,neutral,j,neutral,8
7DOCE Discovery Session | Admin Aides Group 1,28,"Tools: Outlook, IPS, maps, use County Clerk database, uses AS400 for Rental Registry for water billing",tool outlook ip map use county clerk database us rental registry water billing,neutral,tool,neutral,13
7DOCE Discovery Session | Admin Aides Group 1,29,"S: Does the most – takes phone calls, complaints, schedule inspections",take phone call complaint schedule inspection,negative,take,negative,6
7DOCE Discovery Session | Admin Aides Group 1,31,"Speaks with Tom or Bill if there’s an issue – if someone is out, needs another inspector",speaks tom bill issue someone need another inspector,neutral,speaks,neutral,8
7DOCE Discovery Session | Admin Aides Group 1,32,"Tools: IPS, Outlook, GIS, catchment map, Teams, AS400",tool ip outlook gi catchment map team,neutral,tool,neutral,7
7DOCE Discovery Session | Admin Aides Group 1,33,Rent Holds and Rent Releases – get in contact with NBD – 3 receives them and someone from DSS (Lisbeth Nobel),rent hold rent release get contact nbd receives someone ds lisbeth nobel,positive,rent,positive,12
7DOCE Discovery Session | Admin Aides Group 1,35,M: Unhandled exception error – entered complaint case and crashes,unhandled exception error entered complaint case crash,negative,unhandled,negative,7
7DOCE Discovery Session | Admin Aides Group 1,36,IPS crash 2-3 times per day,ip crash time per day,negative,ip,negative,5
7DOCE Discovery Session | Admin Aides Group 1,39,"Not all explciitly told at the same time who is doing what e.. Pat C. commercial electrical and building insp supposed to be doing what Pat was doing, but no one aware",explciitly told time e pat commercial electrical building insp supposed pat one aware,neutral,pat,negative,13
7DOCE Discovery Session | Admin Aides Group 1,40,"Periodic Insp module for Rental Registry – annoying, unorganized",periodic insp module rental registry annoying unorganized,negative,periodic,negative,7
7DOCE Discovery Session | Admin Aides Group 1,44,Only use 2 out of the 20 options – actions in the drop-down in the periodics module,use option action periodics module,neutral,use,neutral,5
7DOCE Discovery Session | Admin Aides Group 1,45,Default options in complaint module always pre-populated – would be helpful for it to autofill,default option complaint module always would helpful autofill,positive,default,positive,8
7DOCE Discovery Session | Admin Aides Group 1,46,"Each appointment – have to schedule in 2-3 places (Outlooks, Periodics module) - if all calendars could be auto-filled that would be helpful",appointment schedule place outlook periodics module calendar could would helpful,positive,appointment,positive,10
7DOCE Discovery Session | Admin Aides Group 1,47,"CofU or CofI – would be nice if all inspectors could collaborate on it, rather than setting up individually",cofu cofi would nice inspector could collaborate rather setting individually,positive,cofu,positive,10
7DOCE Discovery Session | Admin Aides Group 1,48,"Bldg, Fire, Electrical – schedule each individually",bldg fire electrical schedule individually,negative,bldg,negative,5
7DOCE Discovery Session | Admin Aides Group 1,49,Our phones are on a time limit – 5min max – drops automatically – IT has known about this issue – people call back and yell because they think they hung up,phone time limit max drop automatically known issue people call back yell think hung,negative,phone,neutral,14
7DOCE Discovery Session | Admin Aides Group 1,50,4-5 properties scheduling inspections for – call will drop bc time consuming to schedule each one,property scheduling inspection call drop bc time consuming schedule one,negative,property,negative,10
7DOCE Discovery Session | Admin Aides Group 1,55,BAA ticketing – processes seem inconsist and stupid – BAA would send back a ticket with a minor correction i.e. period off or missing letter ‘t’ Scott,baa ticketing process seem inconsist stupid baa would send back ticket minor correction period missing letter scott,negative,baa,negative,17
7DOCE Discovery Session | Admin Aides Group 1,56,Find ticket – make a single character edit,find ticket make single character edit,neutral,find,neutral,6
7DOCE Discovery Session | Admin Aides Group 1,58,"Problem bc inspector should sign, then inspector could edit it – delay by days",problem bc inspector sign inspector could edit delay day,negative,inspector,negative,9
7DOCE Discovery Session | Admin Aides Group 1,59,BAA inconsistent – send back tickets for taking out a care/of line or making it a second line or saying Image Mate has 2 people listed but  – but only cited one person,baa inconsistent send back ticket taking line making second line saying image mate people listed cited one person,neutral,line,neutral,18
7DOCE Discovery Session | Admin Aides Group 1,60,"Address for owner legit address – deed search and on Image Mate, who we sent violation notice to",address owner legit address deed search image mate sent violation notice,negative,address,negative,11
7DOCE Discovery Session | Admin Aides Group 1,61,"BAA tried to send to PO Box – didn't go through – couldn't serve it twice, denied ticket and sent it back",baa tried send po box go could serve twice denied ticket sent back,negative,baa,negative,13
