department,focus_group,expectations,source,processed_text
BAA,BAA ALJs,"Allow date, user to propagate",worksheet,"Allow date, user to propagate"
BAA,BAA ALJs,Easier navigation,worksheet,Easier navigation
BAA,BAA ALJs,Streamlined data input,worksheet,Streamlined data input
BAA,BAA ALJs,Up front learning curve should be easier,worksheet,Up front learning curve should be easier
BAA,BAA ALJs,Centralized dropdown like AIMS: Owner to properties to cases to violations,worksheet,Centralized dropdown like AIMS: Owner to properties to cases to violations
BAA,BAA ALJs,Case -> violations number (drop down but searchable by violation number),worksheet,Case -> violations number (drop down but searchable by violation number)
BAA,BAA ALJs,Autogenerate common decisions with and edit feature,worksheet,Autogenerate common decisions with and edit feature
BAA,BAA ALJs,"Overview page: violation issued, violation status, date resolve",worksheet,"Overview page: violation issued, violation status, date resolve"
BAA,BAA ALJs,Property sold but sometimes don't open violations disappear. Gets confusing with new names and new citations same violations,worksheet,Property sold but sometimes don't open violations disappear. Gets confusing with new names and new citations same violations
BAA,BAA ALJs,Payments tab should include a tracker like AIMS showing the changes and why (comment) and by which user,worksheet,Payments tab should include a tracker like AIMS showing the changes and why (comment) and by which user
BAA,BAA ALJs,Tracking with USPS tracking number -? A way too automatically do this,worksheet,Tracking with USPS tracking number -? A way too automatically do this
BAA,BAA ALJs,Instead of having to download emails and manually uploading them -> drag and drop for attachments,worksheet,Instead of having to download emails and manually uploading them -> drag and drop for attachments
BAA,BAA ALJs,Built-in recording system – automatic,worksheet,Built-in recording system – automatic
BAA,BAA ALJs,Application for codes to input information immediately.,worksheet,Application for codes to input information immediately.
BAA,BAA ALJs,An adjudication specific module,worksheet,An adjudication specific module
BAA,BAA ALJs,Better designation of fines / fees and which violation it is associated with,worksheet,Better designation of fines / fees and which violation it is associated with
BAA,BAA ALJs,Better layout and more intuitive UI,worksheet,Better layout and more intuitive UI
BAA,BAA Operations,Case notes together like in alta via.,worksheet,Case notes together like in alta via.
BAA,BAA Operations,Easier to find information like reservice / notes,worksheet,Easier to find information like reservice / notes
BAA,BAA Operations,We dont need 30 different green shades but i do like different color for different department,worksheet,We dont need 30 different green shades but i do like different color for different department
BAA,BAA Operations,Be able to type in different action types instead of just “case notes”,worksheet,Be able to type in different action types instead of just “case notes”
BAA,BAA Operations,Wrap text instead of sliding the bar all the way over,worksheet,Wrap text instead of sliding the bar all the way over
BAA,BAA Operations,A recently viewed ability would be amazing,worksheet,A recently viewed ability would be amazing
BAA,BAA Operations,If we could search by address that would be so much more efficient,worksheet,If we could search by address that would be so much more efficient
BAA,BAA Operations,To check if rental registry have been applied for and obtained (people lie about this all the time),worksheet,To check if rental registry have been applied for and obtained (people lie about this all the time)
BAA,BAA Operations,Improve add tab,worksheet,Improve add tab
BAA,BAA Operations,Filter open to show all cases with fines,worksheet,Filter open to show all cases with fines
BAA,BAA Operations,When clicking BAA ticketing from pending to approve either combine both or just one action,worksheet,When clicking BAA ticketing from pending to approve either combine both or just one action
BAA,BAA Operations,BAA case notes with action like first round ticket button,worksheet,BAA case notes with action like first round ticket button
BAA,BAA Operations,Select all fees at once when applying,worksheet,Select all fees at once when applying
BAA,BAA Operations,More filter options for addresses with multiple cases,worksheet,More filter options for addresses with multiple cases
BAA,BAA Operations,Less action button when going to add notes,worksheet,Less action button when going to add notes
BAA,BAA Operations,Clear out some of the ones that aren't used,worksheet,Clear out some of the ones that aren't used
BAA,BAA Operations,“RMI letter receival”,worksheet,“RMI letter receival”
BAA,BAA Operations,Add RMI letter mailed,worksheet,Add RMI letter mailed
BAA,BAA Operations,Just want it cleaned up and organized more,worksheet,Just want it cleaned up and organized more
BAA,BAA Supervisors,Automate tickets,worksheet,Automate tickets
BAA,BAA Supervisors,Link all tickets/complaints for a property of house owner,worksheet,Link all tickets/complaints for a property of house owner
BAA,BAA Supervisors,Limit to the ones used,worksheet,Limit to the ones used
BAA,BAA Supervisors,Linked cases is biggest,worksheet,Linked cases is biggest
BAA,BAA Supervisors,Case note button on top with actions and inspections so wouldn't have to scroll,worksheet,Case note button on top with actions and inspections so wouldn't have to scroll
BAA,BAA Supervisors,BAA inspections different color from codes,worksheet,BAA inspections different color from codes
BAA,BAA Supervisors,revamp actions,worksheet,revamp actions
BAA,BAA Supervisors,Putting notes in uniform manner,worksheet,Putting notes in uniform manner
CPC,CPC,BAA update timely,worksheet,BAA update timely
CPC,CPC,User updates,worksheet,User updates
CPC,CPC,"At a glance status of properties – RR renewal date, same for CofU, CofC, VPR.",worksheet,"At a glance status of properties – RR renewal date, same for CofU, CofC, VPR."
CPC,CPC,Maybe a tab just for BAA violation ticket and not mixed in with the warning and everything else,worksheet,Maybe a tab just for BAA violation ticket and not mixed in with the warning and everything else
