department,focus_group,pain_points,processed_text,source,sentiment,title,Category,Category_Method,Category_Confidence,Cluster,Cluster_Label
BAA,BAA ALJs,Navigating between multiple screens,Navigating between multiple screens,worksheet,positive,Navigating between multiple screens,User Experience & Performance,keyword_semantic_agree,2.19611257314682,6,User Experience & Performance
BAA,BAA ALJs,Repeating data entry,Repeating data entry,worksheet,negative,Repeating data entry,Data Management & Visibility,keyword_low,2.0,3,Communication & Collaboration
BAA,BAA ALJs,No full access to IPS,No full access to IPS,worksheet,negative,No full access to IPS,System Integration,semantic_fallback,0.179190993309021,12,System Integration
BAA,BAA ALJs,Initial user frustration (learning curve),Initial user frustration (learning curve),worksheet,negative,Initial user frustration (learning curve),User Experience & Performance,semantic,0.4241963028907776,8,System Integration
BAA,BAA ALJs,One owner with multiple properties,One owner with multiple properties,worksheet,negative,One owner with multiple properties,Case Management,keyword_low,2.0,17,Case Management
BAA,BAA ALJs,Need to look up each address,Need to look up each address,worksheet,negative,Need to look up each address,Records & Document Management,keyword_semantic_agree,2.3012436032295227,16,Records & Document Management
BAA,BAA ALJs,Cannot pull a case up with violation number,Cannot pull a case up with violation number,worksheet,negative,Cannot pull a case up with violation number,Case Management,keyword_semantic_agree,5.333621144294739,4,Case Management
BAA,BAA ALJs,Decision bank,Decision bank,worksheet,negative,Decision bank,Reporting & Decision Support,semantic,0.34748291969299316,8,System Integration
BAA,BAA ALJs,Looking for details or specific information,Looking for details or specific information,worksheet,positive,Looking for details or specific information,Data Management & Visibility,keyword_low,2.0,8,System Integration
BAA,BAA ALJs,One property to multiple owner,One property to multiple owner,worksheet,negative,One property to multiple owner,Case Management,keyword_low,2.0,17,Case Management
BAA,BAA ALJs,Rental Registry doesn't transfer into notes,Rental Registry doesn't transfer into notes,worksheet,negative,Rental Registry doesn't transfer into notes,Records & Document Management,keyword_semantic_agree,3.262375444173813,-1,Noise / unclustered
BAA,BAA ALJs,Scheduling of hearings and case posture/history/state/ not readable apparent in IPS,Scheduling of hearings and case posture/history/state/ not readable apparent in IPS,worksheet,negative,Scheduling of hearings and case posture/history/state/ not readable apparent in IPS,Scheduling & Resource Management,keyword_semantic_agree,8.41184002161026,5,Case Management
BAA,BAA ALJs,"Fines, fees difficult to distinguish in IPS","Fines, fees difficult to distinguish in IPS",worksheet,negative,"Fines, fees difficult to distinguish in IPS",Workflow & Business Processes,keyword_low,3.0,5,Case Management
BAA,BAA ALJs,Cannot easily rename files in IPS,Cannot easily rename files in IPS,worksheet,negative,Cannot easily rename files in IPS,Workflow & Business Processes,semantic_fallback,0.103840172290802,12,System Integration
BAA,BAA ALJs,Too many windows,Too many windows,worksheet,negative,Too many windows,User Experience & Performance,semantic_fallback,0.2946739196777344,6,User Experience & Performance
BAA,BAA Operations,Search case when client doesn't have a violation number,Search case when client doesn't have a violation number,worksheet,negative,Search case when client doesn't have a violation number,Case Management,keyword_semantic_agree,5.310460865497589,4,Case Management
BAA,BAA Operations,Case notes not submitted in one spot,Case notes not submitted in one spot,worksheet,negative,Case notes not submitted in one spot,Case Management,semantic,0.3710501790046692,10,Case Management
BAA,BAA Operations,Actions log is so hard to understand,Actions log is so hard to understand,worksheet,negative,Actions log is so hard to understand,Workflow & Business Processes,keyword_semantic_agree,2.2595757842063904,6,User Experience & Performance
BAA,BAA Operations,No hearing schedule: a way to view hearings in designated time frame,No hearing schedule: a way to view hearings in designated time frame,worksheet,negative,No hearing schedule,Scheduling & Resource Management,keyword_semantic_agree,4.3861439526081085,5,Case Management
BAA,BAA Operations,Having to search by tax ID instead of address,Having to search by tax ID instead of address,worksheet,negative,Having to search by tax ID instead of address,Records & Document Management,keyword_semantic_agree,6.2875120639801025,18,Records & Document Management
BAA,BAA Operations,Repeat same information,Repeat same information,worksheet,negative,Repeat same information,Data Management & Visibility,keyword_low,2.0,3,Communication & Collaboration
BAA,BAA Operations,Violation searches: have to search for address then click each case to see if any open fees,Violation searches: have to search for address then click each case to see if any open fees,worksheet,negative,Violation searches,Records & Document Management,keyword_semantic_agree,6.2332504093647,4,Case Management
BAA,BAA Operations,In IPS have to approve pending tickets twice.,In IPS have to approve pending tickets twice.,worksheet,negative,In IPS have to approve pending tickets twice.,Case Management,keyword_low,3.0,12,System Integration
