Focus Group,Value Index,Content,processed_content,label,category,vader_sentiment,word_count
7DOCE Discovery Session | Admin Aides Group 1,8,"Help at the window, people who in come person",help window people come person,positive,help,positive,5
7DOCE Discovery Session | Admin Aides Group 1,20,Lots of people want to talk to supervisor,lot people want talk supervisor,positive,lot,positive,5
7DOCE Discovery Session | Admin Aides Group 1,33,Rent Holds and Rent Releases – get in contact with NBD – 3 receives them and someone from DSS (Lisbeth Nobel),rent hold rent release get contact nbd receives someone ds lisbeth nobel,positive,rent,positive,12
7DOCE Discovery Session | Admin Aides Group 1,45,Default options in complaint module always pre-populated – would be helpful for it to autofill,default option complaint module always would helpful autofill,positive,default,positive,8
7DOCE Discovery Session | Admin Aides Group 1,46,"Each appointment – have to schedule in 2-3 places (Outlooks, Periodics module) - if all calendars could be auto-filled that would be helpful",appointment schedule place outlook periodics module calendar could would helpful,positive,appointment,positive,10
7DOCE Discovery Session | Admin Aides Group 1,47,"CofU or CofI – would be nice if all inspectors could collaborate on it, rather than setting up individually",cofu cofi would nice inspector could collaborate rather setting individually,positive,cofu,positive,10
7DOCE Discovery Session | Admin Aides Group 1,64,Managing multiple tools – is that frustrating? Could be a more efficient way to have all the things they use. Shawn: very analog so doesn’t know what that would look like GIS map,managing multiple tool frustrating could efficient way thing use shawn analog know would look like gi map,positive,managing,positive,17
7DOCE Discovery Session | Admin Aides Group 1,66,Would save time if all info on catchment map were in IPS on the parcel – but still wouldn’t have geographic context,would save time info catchment map ip parcel still geographic context,positive,would,positive,11
7DOCE Discovery Session | Admin Aides Group 1,67,"M: Pixel perfect when searching by address in AS400 – very difficult, functionality atrocious, like the aesthetic",pixel perfect searching address difficult functionality atrocious like aesthetic,positive,pixel,positive,9
7DOCE Discovery Session | Admin Aides Group 1,74,IPS doesn’t allow saving owner addresses sometimes – or permission based? Tim could do it,ip allow saving owner address sometimes permission based tim could,positive,ip,positive,10
7DOCE Discovery Session | Admin Aides Group 1,78,Assessment change of address form – share,assessment change address form share,positive,assessment,positive,5
7DOCE Discovery Session | Admin Aides Group 1,80,Automatically adds hypens with phone number,automatically add hypens phone number,positive,automatically,positive,5
7DOCE Discovery Session | Admin Aides Group 1,81,"Appreciates that within parcel, can click on button that brings directly to Image Mate with the owner address",appreciates within parcel click button brings directly image mate owner address,positive,appreciates,positive,11
7DOCE Discovery Session | Admin Aides Group 1,82,Dark mode for IPS?  +2 Incredibly bright,dark mode ip incredibly bright,positive,dark,positive,5
7DOCE Discovery Session | Admin Aides Group 1,86,"If everything could be more easily identifiable on the thumbnails – when you pull ip the Parcel History, not easy to tell e..g large complexes like Nob Hill, has to open each individually to find apartment – make it more identifiable e.g. apartment, unit – only has status, open date",everything could easily identifiable thumbnail pull ip parcel history easy tell e g large complex like nob hill open individually find apartment make identifiable apartment unit status open date,positive,identifiable,positive,29
7DOCE Discovery Session | Admin Aides Group 1,90,Some things you need to hit Save and other time you don’t need to,thing need hit save time need,positive,need,positive,6
DOCE Discovery Session | Building Inspectors Group 1,22,"Got tablets years ago – great idea, too much lag – heard that IT didn’t want to pay for updates on tablets",got tablet year ago great idea much lag heard want pay update tablet,positive,tablet,positive,13
DOCE Discovery Session | Building Inspectors Group 1,32,Doing it in the field would save a ton of time,field would save ton time,positive,field,positive,5
DOCE Discovery Session | Building Inspectors Group 1,44,Not supposed to issue cert with taxes – can issue if in tax trust,supposed issue cert tax issue tax trust,positive,issue,positive,7
DOCE Discovery Session | Building Inspectors Group 1,75,Tickle dates – reminder dates are helpful,tickle date reminder date helpful,positive,date,positive,5
DOCE Discovery Session | Building Inspectors Group 1,79,Likes that all documents and images are saved in there – even communication with owner,like document image saved even communication owner,positive,like,positive,7
DOCE Discovery Session | Building Inspectors Group 1,86,"Likes it for certain things, doesn’t like it for others",like certain thing like others,positive,like,positive,5
DOCE Discovery Session | Building Inspectors Group 1,87,"Ashlie started as paralegal – between Codes and Law – also a clerk – started with RR program – easier for her, can look anything up",ashlie started paralegal code law also clerk started rr program easier look anything,positive,started,positive,13
DOCE Discovery Session | Building Inspectors Group 1,89,Issue for clerks as well – Nob Hill eg. Huge list of cases – issue with searching – sift through all of those cases,issue clerk well nob hill eg huge list case issue searching sift case,positive,issue,positive,13
DOCE Discovery Session | Building Inspectors Group 1,113,Be nice if IPS had everything they needed – now we have so many apps,nice ip everything needed many apps,positive,nice,positive,6
DOCE Discovery Session | Building Inspectors Group 1,119,Would be interesting to see what other municipalities use for software – in NYS same codes,would interesting see municipality use software ny code,positive,would,positive,8
DOCE Discovery Session | Building Inspectors Group 1,120,Ashlie has high hopes – this meeting longer already than the one they held when picking IPS (Gretchen in Law? At the time),ashlie high hope meeting longer already one held picking ip gretchen law time,positive,ashlie,positive,13
DOCE Discovery Session | Building Inspectors Group 1,124,Several inspectors do not have access to AS400. We do need this to check for proper ownership as well as water usage to determine vacancy.,several inspector access need check proper ownership well water usage determine vacancy,positive,several,positive,12
DOCE Discovery Session | Admin Aides Group 2,16,Try to direct them to departments – those departments don’t pick up the phone – try to give them an alternative solution i.e. fill out form,try direct department department pick phone try give alternative solution fill form,positive,try,positive,12
DOCE Discovery Session | Admin Aides Group 2,17,Website – tried to create a ticket through seeclickfix – got a blank screen*,website tried create ticket seeclickfix got blank screen,positive,website,positive,8
DOCE Discovery Session | Admin Aides Group 2,20,"Camino is the smoothest – up-to-date, reliable – runs well compared to everything else",camino smoothest reliable run well compared everything else,positive,camino,positive,8
DOCE Discovery Session | Admin Aides Group 2,27,Will send copies of things through their emails – send a lot of attachments,send copy thing email send lot attachment,positive,send,positive,7
DOCE Discovery Session | Admin Aides Group 2,31,Document a lot in IPS just to make sure it’s there,document lot ip make sure,positive,document,positive,5
DOCE Discovery Session | Admin Aides Group 2,36,"7D court filings – don't have a dedicated place for this – would be nice if legal had their own section for it. If no case, adding to other general attachments – a lot in there – their own designated space for it to be uploaded",court filing dedicated place would nice legal section case adding general attachment lot designated space uploaded,positive,court,positive,16
DOCE Discovery Session | Admin Aides Group 2,37,"IPS: when trying to save anything – brink of crashing – slows down – loading window – if crashes, will say out of memory",ip trying save anything brink crashing slows loading window crash say memory,positive,ip,positive,12
DOCE Discovery Session | Admin Aides Group 2,39,Everything else runs pretty smoothly – mainly processing speed,everything else run pretty smoothly mainly processing speed,positive,everything,positive,8
DOCE Discovery Session | Admin Aides Group 2,45,"Can’t find new owners – creates an issue because old owners calls us, become aggravated/agitated because they sold it",find new owner creates issue old owner call u become sold,positive,owner,positive,11
DOCE Discovery Session | Admin Aides Group 2,47,When waiting on approval for something – if they can’t get ahold of Permits office,waiting approval something get ahold permit office,positive,waiting,positive,7
DOCE Discovery Session | Admin Aides Group 2,48,Eric: Likes that everything is in Camino – database for that,eric like everything camino database,positive,eric,positive,5
DOCE Discovery Session | Admin Aides Group 2,49,Multiple tools they have to handle – would be nice if something that collected those data and inputted in both systems,multiple tool handle would nice something collected data inputted system,positive,multiple,positive,10
DOCE Discovery Session | Admin Aides Group 2,54,Likes periodics window for Rental Registry,like periodics window rental registry,positive,like,positive,5
DOCE Discovery Session | Admin Aides Group 2,56,"PI module layout – likes it better than the complaint module – designed well – when you click on date, doesn’t calendar – very useful",pi module layout like better complaint module designed well click date calendar useful,positive,module,positive,13
DOCE Discovery Session | Admin Aides Group 2,68,Camino – changed something they didn’t like – if they pick AM/PM - doesn’t list time in – doesn't allow for time? Lillian adds a note *flag for Camino team – could impact inspectors too,camino changed something like pick list time allow time lillian add note flag camino team could impact inspector,positive,camino,positive,18
DOCE Discovery Session | Supervisors Group,13,"Other departments: Fire, zoning, NBD, CPO",department fire zoning nbd cpo,neutral,department,positive,5
DOCE Discovery Session | Supervisors Group,23,"Tools: Seeclickfix, camino, phones, IPS, AS400, spreadsheets – helpful for looking at large picture",tool seeclickfix camino phone ip spreadsheet helpful looking large picture,positive,tool,positive,10
DOCE Discovery Session | Supervisors Group,29,"Shared a lot of what Tom has traditionally done – issuing RR/CCs, CofI, CofA, processing – day to day processing everything thatcomes in – mailing things that need to go out",shared lot tom traditionally done issuing cofi cofa processing day day processing everything thatcomes mailing thing need go,positive,processing,positive,18
DOCE Discovery Session | Supervisors Group,60,Closing older cases – case clean up needed,closing older case case clean needed,positive,case,positive,6
DOCE Discovery Session | Supervisors Group,63,Change in process – something changed where it no longer counted as closed case – sit open that appear – didn't force close violations,change process something changed longer counted closed case sit open appear force close violation,negative,change,positive,14
DOCE Discovery Session | Supervisors Group,71,Researching in general – would be nice to do on the spot,researching general would nice spot,positive,researching,positive,5
DOCE Discovery Session | Supervisors Group,83,Legal basis for CE process – parcel based,legal basis ce process parcel based,positive,legal,positive,6
DOCE Discovery Session | Supervisors Group,89,"Bill: Likes that everything is one place – has the caseload builds, volume becomes tougher to manage",bill like everything one place caseload build volume becomes tougher manage,positive,bill,positive,11
DOCE Discovery Session | Supervisors Group,90,"Tom: ease of use, simple to train on and use",tom ease use simple train use,positive,use,positive,6
DOCE Discovery Session | Supervisors Group,93,"Jake: doesn’t like that it’s on-prem – needs an app – use on field in various devices, version that work on all of it",jake like need app use field various device version work,positive,jake,positive,10
DOCE Discovery Session | Supervisors Group,102,Imposters pull permit under another license – because they have the license number – under their personal Camino account,imposter pull permit another license license number personal camino account,positive,license,positive,10
