Focus Group,Pain Point,processed_pain_points,label,vader_sentiment
Assessment Assessment Supervisors,Historical Record Management: Historical permits and property records often require searching IPS together with OnBase because historical information is not consolidated.,historical record management historical permit property record often require searching ip together onbase historical information consolidated,neutral,neutral
Assessment Assessment Supervisors,"Incomplete Property History: IPS does not always provide a complete historical picture for permits, Certificates of Occupancy, or property changes.",incomplete property history ip always provide complete historical picture permit certificate occupancy property change,neutral,neutral
Assessment Assessment Supervisors,Large Plan Viewing: Large plans and surveys cannot be viewed effectively within IPS.,large plan viewing large plan survey viewed effectively within ip,positive,negative
Assessment Assessment Supervisors,Limited Historical Visibility: Historical records are frequently needed to determine legal occupancy and previous property conditions but are not always easily accessible.,limited historical visibility historical record frequently needed determine legal occupancy previous property condition always easily accessible,positive,negative
Assessment Assessment Supervisors,"Property Research Complexity: Assessment work frequently requires combining information from permits, surveys, Engineering, and historical records to understand complete property history.",property research complexity assessment work frequently requires combining information permit survey engineering historical record understand complete property history,neutral,neutral
Assessment Assessment Supervisors,Subdivision Tracking: Following parcel history after resubdivisions requires coordination with Engineering and County mapping records.,subdivision tracking following parcel history resubdivisions requires coordination engineering county mapping record,neutral,neutral
Assessment Assessment Supervisors,"Permit Dependency: Assessment activities depend heavily on permit activity to identify changes affecting assessed value, although unpermitted improvements can still occur.",permit dependency assessment activity depend heavily permit activity identify change affecting assessed value although unpermitted improvement still occur,positive,positive
Assessment Assessment Supervisors,"Seasonal Workload: Assessment activities vary throughout the year based on tax deadlines, permit volume, and market activity.",seasonal workload assessment activity vary throughout year based tax deadline permit volume market activity,neutral,neutral
CPO Central Permit Office,Split Permit & Code Systems: Permit and Code Enforcement information exists in separate systems and workflows.,split permit code system permit code enforcement information exists separate system workflow,neutral,neutral
CPO Central Permit Office,"Scattered Information: Property and permit information is distributed across IPS, Camino, AS400, OnBase, and historical archives.",scattered information property permit information distributed across ip camino onbase historical archive,neutral,neutral
CPO Central Permit Office,Research Complexity: Users must search multiple systems to understand complete property history.,research complexity user must search multiple system understand complete property history,neutral,neutral
CPO Central Permit Office,"Difficult Information Retrieval: Finding relevant information often feels like ""hunting"" through multiple systems.",difficult information retrieval finding relevant information often feel like hunting multiple system,neutral,neutral
