focus_group,expectations,processed_text,sentiment
BAA Supervisors & Admin Aide,Automate tickets,Automate tickets,positive
BAA Supervisors & Admin Aide,Link all tickets/complaints for a property of house owner,Link all tickets/complaints for a property of house owner,positive
BAA Supervisors & Admin Aide,Limit to the ones used,Limit to the ones used,positive
BAA Supervisors & Admin Aide,Linked cases is biggest,Linked cases is biggest,positive
BAA Supervisors & Admin Aide,Case note button on top with actions and inspections so wouldn’t have to scroll,Case note button on top with actions and inspections so wouldn’t have to scroll,positive
BAA Supervisors & Admin Aide,BAA inspections different color from codes,BAA inspections different color from codes,positive
BAA Supervisors & Admin Aide,revamp actions,revamp actions,positive
BAA Supervisors & Admin Aide,Putting notes in uniform manner,Putting notes in uniform manner,positive
DOCE Building Inspectors,Make sure we have the most current information,Make sure we have the most current information,positive
DOCE Building Inspectors,Make sure we have the most current address,Make sure we have the most current address,positive
DOCE Building Inspectors,Better communication,Better communication,positive
DOCE Building Inspectors,Sprinkler system reports & elevator reports – access to them at least,Sprinkler system reports & elevator reports – access to them at least,positive
DOCE Building Inspectors,Tablets that are faster,Tablets that are faster,positive
DOCE Building Inspectors,Communication within departments,Communication within departments,positive
DOCE Building Inspectors,Apps on iPhone,Apps on iPhone,positive
DOCE Building Inspectors,Single system,Single system,positive
DOCE Building Inspectors,Single system,Single system,positive
DOCE Building Inspectors,The same as AS400.,The same as AS400.,positive
DOCE Building Inspectors,If it could hold everything I need.,If it could hold everything I need.,positive
DOCE Building Inspectors,Have a note that says pass instead calling permits,Have a note that says pass instead calling permits,positive
DOCE Building Inspectors,Have that in IPS,Have that in IPS,positive
DOCE Building Inspectors,Just elevator certificate,Just elevator certificate,positive
CPC,BAA update timely,BAA update timely,positive
CPC,User updates,User updates,positive
CPC,"At a glance status of properties – RR renewal date, same for CofU, CofC, VPR.","At a glance status of properties – RR renewal date, same for CofU, CofC, VPR.",positive
CPC,Maybe a tab just for BAA violation ticket and not mixed in with the warning and everything else,Maybe a tab just for BAA violation ticket and not mixed in with the warning and everything else,negative
CPC,The information IPS has is good but just a tab for violation ticket separate for all the warning and image would make things easier,The information IPS has is good but just a tab for violation ticket separate for all the warning and image would make things easier,positive
CPC,Can the IPS software automatically add the late fees to all existing code violations to avoid incorrect information being recorded or provided to the customer.,Can the IPS software automatically add the late fees to all existing code violations to avoid incorrect information being recorded or provided to the customer.,negative
CPC,Can the violation and BAA ticket be different and not so identical for easy processing purpose and not to confuse everyone involved.,Can the violation and BAA ticket be different and not so identical for easy processing purpose and not to confuse everyone involved.,negative
CPC,I could help update when I see some that could be closed,I could help update when I see some that could be closed,positive
CPC,Maybe its my computer,Maybe its my computer,positive
CPC,Add one more search function,Add one more search function,positive
CPC,"After searching by owner name or address, if the list of violations could show the amount owed. It would save more time opening each violations.","After searching by owner name or address, if the list of violations could show the amount owed. It would save more time opening each violations.",negative
CPC,Businesses on system should also list owner’s / responsible party name,Businesses on system should also list owner’s / responsible party name,positive
CPC,System could automatically duplicate email address + phone for every account on system once completed for one account manually,System could automatically duplicate email address + phone for every account on system once completed for one account manually,positive
CPC,Recode items which have current money owed to a “Red dot“ instead of purple or green so it stands out and would eliminate need to double click each entry.,Recode items which have current money owed to a “Red dot“ instead of purple or green so it stands out and would eliminate need to double click each entry.,positive
CPC,AS400 – water,AS400 – water,positive
CPC,Need to duplicate password entry,Need to duplicate password entry,positive
DOCE Central Permit Office,One database that stores and allows /facilitates application progress,One database that stores and allows /facilitates application progress,positive
DOCE Central Permit Office,Improve documentation capabilities,Improve documentation capabilities,positive
DOCE Central Permit Office,Ideally it would be aide to someone integrate with camino.,Ideally it would be aide to someone integrate with camino.,positive
